													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Chidushei Agadot on Meilah	Maharsha	Written by Rabbi Shmuel Eliezer Edels, the Maharsha (1555 – 1631, Poland), Chidushei Aggadot is a commentary on the aggadic (non-legal) portions of the Talmud. The commentary reflects the author’s vast knowledge of philosophy and Kabbalah.	פירוש על כל האגדות שבתלמוד בבלי.	1605	25	Posen	1670	Vilna	Achronim				
Chidushei Agadot on Tamid	Maharsha	Written by Rabbi Shmuel Eliezer Edels, the Maharsha (1555 – 1631, Poland), Chidushei Aggadot is a commentary on the aggadic (non-legal) portions of the Talmud. The commentary reflects the author’s vast knowledge of philosophy and Kabbalah.	פירוש על כל האגדות שבתלמוד בבלי.	1605	25	Posen	1670	Vilna	Achronim				
Commentary of the Rosh on Nazir	Rosh	Beyond his famous Halakhot summary found on most of the Talmud, Rosh (Rabbenu Asher ben Yechiel) also penned a concise commentary on certain tractates - meant to facilitate their study, and more in the style of Rashi than in that of Tosafot.		1300	25				Rishonim				
Commentary of the Rosh on Nedarim	Rosh	Beyond his famous Halakhot summary found on most of the Talmud, Rosh (Rabbenu Asher ben Yechiel) also penned a concise commentary on certain tractates - meant to facilitate their study, and more in the style of Rashi than in that of Tosafot.		1300	25				Rishonim				
Commentary of the Rosh on Tamid	Rosh	Beyond his famous Halakhot summary found on most of the Talmud, Rosh (Rabbenu Asher ben Yechiel) also penned a concise commentary on certain tractates - meant to facilitate their study, and more in the style of Rashi than in that of Tosafot.		1300	25				Rishonim				
Divrei Negidim on Pesach Haggadah	Yehudah Yudel Rosenberg	This work is attributed to Maharal, but is believed to be of later authorship. While much of the material is taken from the Maharal's writings, some claim that the publisher, Rabbi Yudel Rosenberg, incorporated some of his own ideas into the text. 	פירוש על הגדה של פסח מיוחס למהר"ל מפראג, אבל יש הטוענים שהמוציא לאור, רב יודל רוזנברג, הוסיף בו דברים משלו.	1910	15		1925	Warsaw	Achronim				
Ibn Ezra on Ecclesiastes	Ibn Ezra	Ibn Ezra’s commentary on the Tanakh reflects his knowledge as a Hebrew grammarian and philologist. His commentary is terse and aims to discover the pshat, the contextual meaning, of the text. Ibn Ezra was known for his independent ideas which aroused much controversy. Many view Ibn Ezra as the forefather of Biblical criticism. As an example, in the last chapter of Sefer Devarim (34:10), Ibn Ezra comments that Joshua, and not Moshe, wrote from this point until the end of the Torah. 		1155		Rome	1524	Venice	Rishonim				
Ibn Ezra on Song of Songs	Ibn Ezra	Ibn Ezra’s commentary on the Tanakh reflects his knowledge as a Hebrew grammarian and philologist. His commentary is terse and aims to discover the pshat, the contextual meaning, of the text. Ibn Ezra was known for his independent ideas which aroused much controversy. Many view Ibn Ezra as the forefather of Biblical criticism. As an example, in the last chapter of Sefer Devarim (34:10), Ibn Ezra comments that Joshua, and not Moshe, wrote from this point until the end of the Torah. 		1155		Middle-Age France/Italy/England	1524	Venice	Rishonim				
Immanuel of Rome on Esther	Immanuel of Rome			1305	20	Middle-Age Italy			Rishonim				
Kaf Achat	Hayyim Joseph David Azulay	Prayers for various occasions, compiled by Chida.	תפילות לזמנים ומצבים שונים, מלוקט על ידי ר' חיים יוסף דוד אזולאי (חיד"א).	1780	12		1815	Pisa, Italy	Achronim				
Kesher Gudal	Hayyim Joseph David Azulay	Laws of daily prayer, compiled by Chida.	דיני תפילה מאת ר' חיים יוסף דוד אזולאי (חיד"א).	1780	12		1793-1794	Livorno, Italy	Achronim				
Maaseh Rokeach on Mishnah	Elazar Rokeach of Amsterdam	Kabbalistic commentary on the Mishnah.	פירוש למשנה על דרך הקבלה. שם הספר הוא גימטריה של שם המחבר ושם אמו.	1710	25		1740	Amsterdam	Achronim				
Maharam Shif on Eruvin	Meir ben Jacob Ha-Kohen Schiff	A commentary on the Talmud written by Rabbi Meir ben Jacob Ha-Kohen Schiff. Rabbi Schiff (1608 - c. 1644) wrote commentary on the entire Talmud although only a portion remains extant. A defining characteristic of Rabbi Schiff's commentary is his dislike of pilpul.		1635	8	Frankfurt am Main, Germany	1737	Hamburg, Germany	Achronim				
Maharam Shif on Rosh Hashanah	Meir ben Jacob Ha-Kohen Schiff	A commentary on the Talmud written by Rabbi Meir ben Jacob Ha-Kohen Schiff. Rabbi Schiff (1608 - c. 1644) wrote commentary on the entire Talmud although only a portion remains extant. A defining characteristic of Rabbi Schiff's commentary is his dislike of pilpul.		1635	8	Frankfurt am Main, Germany	1737	Hamburg, Germany	Achronim				
פירוש פופולרי על תנ"ך של ר' מאיר לייבוש בן יחיאל מיכל ויסר (מלבי"ם). בפירושו לחומש הוא מביא את מדרשי ההלכה ודן בהם בהשוואה לפשט הפסוקים תוך דיוקים בדקדוק המקרא. המלבי"ם נודע בדרך ייחודית בפירושו למקרא, ולשיטתו אין שום חזרה וכפילות בפסוקים ('מילים נרדפות' כפי שכונה על ידי מפרשים אחרים), אלא כל מילה מייצגת מושג או רעיון אחר.	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.		1859	15		1874	Warsaw	Achronim				
Malbim on Ezra	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.		1859	15		1874	Warsaw	Achronim				
Malbim on Joshua	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.		1859	15		1874	Warsaw	Achronim				
Malbim on Judges	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.		1859	15		1874	Warsaw	Achronim				
Malbim on Leviticus	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.		1859	15	Bucharest, Romania	1875	Warsaw	Achronim				
Marbeh Lesaper on Pesach Haggadah	Yedidiah Tiah Weil	A classic German Haggadah that brings down many otherwise unknown insights and customs from the author's library and from his father, the author of Korban Netanel.		1770	20		1791	Karlsruhe	Achronim		מרבה לספר על הגדה של פסח		Commentary,Liturgy,Pesach Haggadah
Midrash Lekach Tov	Tobiah ben Eliezer	Midrashic commentary on the Torah and Megilot. The title of the work alludes to the author's name, Toviah, in addition to his practice of introducing each portion in the Torah commentary with a short exposition on a verse containing the word 'Tov'.	מדרש לקח טוב, המכונה גם פסיקתא זוטרתא, הוא פירוש מדרשי על חמשת חומשי תורה וחמש מגילות. שם הספר מרמז לשם המחבר, טוביה, וגם למנהגו להתחיל כל פרשה עם ביאור קצר על פסוק שיש בו המילה 'טוב'. הפתיחה לפרשת בראשית הוא פירוש על הפסוק 'כי לקח טוב נתתי לכם'.	1110	5		1887	Mainz, Germany	Rishonim				
Minchat Shai on Ecclesiastes	Yedidiah Norzi	Minchat Shai is a Masoretic commentary by Jedidiah Solomon ben Abraham Norzi. It includes grammatical treatises on Tanakh, noting all variant readings scattered through Talmudic and Midrashic literature.	פירוש לתנ"ך העוסק בעיקר בצורתן, ניקודן ומסורתן של תיבות ואותיות המקרא. מטרת הפירוש היא לברר וללבן את גרסאות המקרא ולקבוע את הנוסח הנכון, על פי מה שדנו בעניינים אלו בספרי התלמוד והמדרש.	1526			1742	Mantua	Achronim				
Minchat Shai on Esther	Yedidiah Norzi	Minchat Shai is a Masoretic commentary by Jedidiah Solomon ben Abraham Norzi. It includes grammatical treatises on Tanakh, noting all variant readings scattered through Talmudic and Midrashic literature.	פירוש לתנ"ך העוסק בעיקר בצורתן, ניקודן ומסורתן של תיבות ואותיות המקרא. מטרת הפירוש היא לברר וללבן את גרסאות המקרא ולקבוע את הנוסח הנכון, על פי מה שדנו בעניינים אלו בספרי התלמוד והמדרש.	1526			1742	Mantua	Achronim				
Minchat Shai on Lamentations	Yedidiah Norzi	Minchat Shai is a Masoretic commentary by Jedidiah Solomon ben Abraham Norzi. It includes grammatical treatises on Tanakh, noting all variant readings scattered through Talmudic and Midrashic literature.	פירוש לתנ"ך העוסק בעיקר בצורתן, ניקודן ומסורתן של תיבות ואותיות המקרא. מטרת הפירוש היא לברר וללבן את גרסאות המקרא ולקבוע את הנוסח הנכון, על פי מה שדנו בעניינים אלו בספרי התלמוד והמדרש.	1526			1742	Mantua	Achronim				
Minchat Shai on Ruth	Yedidiah Norzi	Minchat Shai is a Masoretic commentary by Jedidiah Solomon ben Abraham Norzi. It includes grammatical treatises on Tanakh, noting all variant readings scattered through Talmudic and Midrashic literature.	פירוש לתנ"ך העוסק בעיקר בצורתן, ניקודן ומסורתן של תיבות ואותיות המקרא. מטרת הפירוש היא לברר וללבן את גרסאות המקרא ולקבוע את הנוסח הנכון, על פי מה שדנו בעניינים אלו בספרי התלמוד והמדרש.	1526			1742	Mantua	Achronim				
Minchat Shai on Song of Songs	Yedidiah Norzi	Minchat Shai is a Masoretic commentary by Jedidiah Solomon ben Abraham Norzi. It includes grammatical treatises on Tanakh, noting all variant readings scattered through Talmudic and Midrashic literature.	פירוש לתנ"ך העוסק בעיקר בצורתן, ניקודן ומסורתן של תיבות ואותיות המקרא. מטרת הפירוש היא לברר וללבן את גרסאות המקרא ולקבוע את הנוסח הנכון, על פי מה שדנו בעניינים אלו בספרי התלמוד והמדרש.	1526			1742	Mantua	Achronim				
Moreh BeEtzba	Hayyim Joseph David Azulay	Laws of prayer and daily conduct, compiled by Chida.	דיני תפילה והנהגות מוסריות לכל השנה מאת ר' חיים יוסף דוד אזולאי (חיד"א).	1766	15		1781	Livorno, Italy	Achronim				
Nachal Eshkol on Ecclesiastes	Hayyim Joseph David Azulay	Homiletical commentary of Chida on the Five Megillot.	פירושו של החיד"א על חמש מגלות	1780	12		1889	Warsaw	Achronim				
Nachal Eshkol on Esther	Hayyim Joseph David Azulay	Homiletical commentary of Chida on the Five Megilot.	פירושו של החיד"א על חמש מגלות	1780	12		1889	Warsaw	Achronim				
Nachal Eshkol on Lamentations	Hayyim Joseph David Azulay	Homiletical commentary of Chida on the Five Megillot.	פירושו של החיד"א על חמש מגלות	1780	12		1889	Warsaw	Achronim				
Nachal Eshkol on Ruth	Hayyim Joseph David Azulay	Homiletical commentary of Chida on the Five Megilot.	פירושו של החיד"א על חמש מגלות	1780	12		1889	Warsaw	Achronim				
Nachal Eshkol on Song of Songs	Hayyim Joseph David Azulay	 Homiletical commentary of Chida on the Five Megilot.	פירושו של החיד"א על חמש מגלות	1780	12		1889	Warsaw	Achronim				
Notes and Corrections on Midrash Lekach Tov	Solomon Buber	Scholarly notes, references and citation of textual variants from this careful scholar and editor of many volumes of the Midrash. The notes were published alongside the first printing of the first two volumes (on Genesis and Exodus) of this book of midrash.		1882	2	Lemberg, Galicia	1884	Vilna	Achronim				
Penei Yehoshua on Bava Kamma	Jacob Joshua Falk	Classic work of Talmudic novellae, widely studied to this day.	חידושים וביאורים על מסכתות הש"ס. הספר הוא מאד פופולרי בעולם הישיבות, והוא נחשב לאחד מאבני היסוד במשא־ומתן התלמודי. בהקדמה לספרו כותב המחבר שהמניע לכתיבת הספר הייתה סיפור מעניין: ביום ג' בכסלו ה'תס"ג אירע רעידת אדמה בלבוב, שגרמה לפיצוץ מחסן חומר הנפץ בעיר. בעת ההוא ישב ולמד בביתו כשפתאום קרס עליו הבית. בשכבו תחת ההריסות הוא נדר לה' שאם יוציאו משם בשלום יעסוק כל חייו בלימוד התורה וגם ימשיך במה שהתחיל סבו, בעל ה"מגיני שלמה" – תירוץ כל קושיות בעלי התוספות על רש"י. מיד כשסיים את נדרו נפתח בפניו שביל בין העמודים שקרסו והוא יצא בריא ושלם.	1727	25		1779	Fuerth	Achronim				
