French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"חלודה/רידויל""א",Niddah 4a,Rashi on Niddah 4a:11:1,,"2394 נידה ד. <b>חלודה</b><br>רידויל""א [redoille] redoile <b>חלודה</b><br><small>ראה לעיל מס' 200.#
</small>","(4a:11:1) חלודה - רדוליר""א:"
"רשושין/פידרוי""א",Niddah 8b,Rashi on Niddah 8b:16:1,,"2395 נידה ח: <b>רשושין</b><br>פידרוי""א [pedruge] pedruge <b>חצץ</b><br><small>ר' מילונו של לוי (מס' 633).$
</small>","(8b:16:1) רשושין - אבנים דקין שקורין פרדוי""א. לשון אחר רגבי אדמה קשין שאין עפרם מתפזר:"
"צונמא/רוק""א",Niddah 8b,,"Rashi on Niddah 8b:16:4,
Rashi on Niddah 8b:12:3","2396 נידה ח: <b>צונמא</b><br>רוק""א roche <b>סלע</b><br><small>חסר בדפוסים ומצוי רק בכתב-יד אחד. ספק, אם הוא באמת מאת רש""י.$
</small>","(8b:16:4) צונמא - סלע:,
(8b:12:3) ליתני נמי הא - ונימא ארבע בתולות הן:"
"פמלניא/פורציינ""ט",Niddah 13b,Rashi on Niddah 13b:23:1,,"2397 נידה יג: <b>פמלניא</b><br>פורציינ""ט porceint <b>חגורה</b><br><small>ראה לעיל מס' 112.$
</small>","(13b:23:1) פמלניא - סינר פורצינ""ט. חללו תלוי למטה ברוחב שלא יתעטף האבר ויתחמם:"
"שנצים/אישטירלי""ש",Niddah 13b,Rashi on Niddah 13b:23:3,,"2398 נידה יג: <b>שנצים</b><br>אישטירלי""ש esterles <b>שנצים, שרוכים</b><br><small>$
</small>","(13b:23:3) שנצים - אשרלט""ש כעין שלנו:"
"(ה)אוחזים את העיניים/גרמינטי""ר",Niddah 17a,Rashi on Niddah 17a:7:1,,"2399 נידה יז. <b>(ה)אוחזים את העיניים</b><br>גרמינטי""ר gramenter <b>לדרוש אל המתים</b><br><small>כפי הנראה נגזר מ – negrementer (על פי היוונית necromanteia, ""דרישה אל המתים""), משם שהתחלת המלה נחשבה לקדומת (השווה את הצורה המקבילה ingremrnter). מילונים מקרבים gramenter ל – garmenter. Gaimenter (""להתאונן"", מיזוג של השורש הגרמני weh – vai – gai, ""אבוי"", והפועל lamenter, ""לקונן""). אבל מסתבר, שאין זה אלא דימוי צלילים מקרי.$
</small>","(17a:7:1) רוח טומאה - כמדת הלצים שקורין גרמנטי""ר האוחזים את העיניים:"
"מילא פרהבא/קוטו""ן",Niddah 17a,Rashi on Niddah 17a:15:1,,"2400 נידה יז. <b>מילא פרהבא</b><br>קוטו""ן coton <b>כותנה</b><br><small>ראה לעיל מס' 26.$
</small>","(17a:15:1) מילא פרהבא - קוטו""ן. מתוך שהוא לבן נראית בו טיפה כחרדל. לישנא אחרינא צמר נקי ורך:"
"פקולין/קוטו""ן",Niddah 17a,Rashi on Niddah 17a:17:1,,"2401 נידה יז. <b>פקולין</b><br>קוטו""ן coton <b>כותנה</b><br><small>ראה לעיל מס' 26.$
</small>","(17a:17:1) פקולין - קוטו""ן:"
"פרקדנית/שובינ""א",Niddah 17b,Rashi on Niddah 17b:8:2,,"2402 נידה יז: <b>פרקדנית</b><br>שובינ""א sovine <b>פרקדנית, שוכבת על הגב</b><br><small>$
</small>","(17b:8:2) אזדקרה - נזקפה לצד אחוריה כגון פרקדנית שקורין שובינ""א ואיכא למימר מעלייה נחית לפרוזדור והא דלא נפיק ונחית מפרוזדור דרך פתח בית הרחם וחזר לצד החדר משום זקיפה הוא וכיון דאיכא לאחזוקי הכי והכי הוי ספק ולא ודאי:"
"תלתן/פינוגר""י",Niddah 19a,Rashi on Niddah 19a:2:4,,"2403 נידה יט. <b>תלתן</b><br>פינוגר""י fenogre <b>חילבה (גרגרנית יוונית, צמח המשמש לתבלין)</b><br><small>$
</small>","(19a:2:4) תלתן - פנגרי""ג:"
"חרת/אדרימינ""ט",Niddah 19a,,"Rashi on Niddah 19a:21:1,
Rashi on Niddah 19a:4:2","2404 נידה יט. <b>חרת</b><br>אדרימינ""ט adrement <b>צבע שחור</b><br><small>ראה לעיל מס' 358.$
</small>","(19a:21:1) דיהה מכן אפילו - הוא שחור ככחול טהור הואיל ואינו שחור כחרת:,
(19a:4:2) כחרת - איידרמינ""ט:"
"דיהה/פלדי""ש",Niddah 19a,Rashi on Niddah 19a:4:4,,"2405 נידה יט. <b>דיהה</b><br>פלדי""ש paldes <b>חיוור</b><br><small>אף שכבר ראינו (למשל לעיל מס' 932 ועוד), שאין להתפלא מצורת יחיד בסיומת –s (או –ts=-z), היינו מעדיפים לראות כאן, לפי תוכן הפירוש, צורה של הפועל palir, paloir (""להחוויר"") – אבל אי-אפשר למצוא בדרך זו הצדקה ל – s הסופית. בלונדהיים מתרגם ""חיוורים"", אבל, כפי הנראה, זו פליטת קולמוס.$
</small>","(19a:4:4) דיהה - פלד""ש שנדחית מראיתו:"
"מנומר/טי""י",Niddah 19a,,,"2406 נידה יט. <b>מנומר</b><br>טי""י taje <b>בעל כתמים</b><br><small>באחד מכתבי-היד יש פירוש רש""י על היין ""השרוני. מנומר טיי""א בלע""ז"" (בסוף המשנה), אך לא ייתכן, שיהא מאת רש""י, אלא אם כן מתקנים: טיי""ד tajed (צורה עתיקה יותר). לפי שיטת בלונדהיים יש לראות ב""מנומר"" ולא ב""השרוני"" את המלה המתפרשת.$
</small>"
"קילור/אינפלשטר""א",Niddah 20a,,Rashi on Niddah 20a:1:1,"2407 נידה כ. <b>קילור</b><br>אינפלשטר""א enplastre <b>תחבושת</b><br><small>ראה לעיל מס' 1449.$
</small>","(20a:1:1) בקילור - אנפלשט""ר ואדום הוא ונתעסקה בו. אלמא קילור דומה לדם נדות ואע""ג דלא הוי סומק כולי האי וקשיא לכולהו דדייקי בין דם בחור לדם נשוי משום דסומק טפי ובין דם מאכולת של ראש לשאר דם מאכולת:"
"פשוט/טינבי""ש",Niddah 21a,,Rashi on Niddah 21a:2:1,"2408 נידה כא. <b>פשוט</b><br>טינבי""ש tenves <b>דק, רזה</b><br><small>ראה לעיל מס' 2361.$
</small>","(21a:2:1) בכוס טבריא של זכוכית פשוט - טנב""ש ואיידי דקליש נראה בו אדמומית היין:"
"אוכמא/פרוניל""א",Niddah 23a,,Rashi on Niddah 23a:13:2,"2409 נידה כג. <b>אוכמא</b><br>פרוניל""א prunele <b>אישון (של עין)</b><br><small>חסר בדפוסים.$
</small>",(23a:13:2) באוכמא - שחור שבעין הוי עגול בבהמה כאדם והא דתני דהוי מום בציריא מקום מושב כל העין לא הוי עגול בבהמה כאדם ואי הוי עגול הוי מום דכל בור של מושב העין קרוי גלגל כדאמרי' לקמן (נדה דף כד:) ועמדתי בגלגל עינו של מת עד חוטמי ומפני שהוא עגול כגלגל:
"גבות עיניים/שורצי""ל",Niddah 23b,Rashi on Niddah 23b:10:1,,"2410 נידה כג: <b>גבות עיניים</b><br>שורצי""ל sorcil <b>גבת-העין</b><br><small>כאן רש""י מפרש ""גבינים. גבות עיניים"" ולועז ביחיד, ולעיל (מס' 2340, 2343) הוא רק לועז ברבים. ונראה, שההבדל הוא בזה, ששם מדובר בשערות שעל הגבות, וכאן בעור המתגַבֵּהַּ - בדומה לגבות הזקן היינו הסנטר. אך, כמו במקרים אחרים (ר' לעיל מס' 932), יש גם אפשרות, שהסיומת –s איננה של רבים.$
</small>","(23b:10:1) הגבינים - גבות עינים שורצי""ל. וגבות הזקן סנטר שקורין מנטו""ן:"
"סנטר/מינטו""ן",Niddah 23b,Rashi on Niddah 23b:10:1,,"2411 נידה כג: <b>סנטר</b><br>מינטו""ן menton <b>סנטר</b><br><small>$
</small>","(23b:10:1) הגבינים - גבות עינים שורצי""ל. וגבות הזקן סנטר שקורין מנטו""ן:"
"(צדעיו)[צדעיים]/טינפלי""ש",Niddah 29a,,,"2412 נידה כט. <b>(צדעיו)[צדעיים]</b><br>טינפלי""ש tenples <b>צדעיים</b><br><small>$
</small>"
"דה""מ מטנפות/גלייר""א",Niddah 29a,Rashi on Niddah 29a:23:1,,"2413 נידה כט. <b>דה""מ מטנפות</b><br>גלייר""א [glaire] gleire <b>ליחה</b><br><small>$
</small>","(29a:23:1) מטנפות - יום אחד קודם לידה כעין גלייר""א:"
"(אציליו)[אצילים]/אישילי""ש",Niddah 30b,Rashi on Niddah 30b:18:2,,"2414 נידה ל: <b>(אציליו)[אצילים]</b><br>אישילי""ש [aisseles] aiseles <b>בתי-שחי</b><br><small>לעיל מס' 334 היה aisele פירוש של ""מרפק"", ומתקבל על הדעת, שגם ""מרפק"" וגם ""אציליים"" הם מה שאנו קוראים היום מרפק. הדבר בולט במקום זה, כי קשה לדמות את העובר כשבתי-שחיו מונחים על ארכובותיו. ויש חשש, שרש""י נמשך אחרי דמיון הצלילים בין ""אציל"" לבין aisele. ולפי זה רק במקום אחד (לעיל מס' 1709) הפירוש aisele (בית-השחי)  מוצדק, ובשלושת המקומות הנותרים (כאן, לעיל מס' 334 ומס' 2368 – כשבמס' 334 התלמוד גורס דווקא ""מרפק"" ולא ""אציל"", אולם ייתכן, שהייתה גם גרסה זו בספרו של רש""י) מדובר במרפק (המפורש כשורה code לעיל מס' 1934). ור' גם בלונדהיים ב' (ע' 72-71) ובפרט בתוספות דה""מ קיבורת (מנחות לז.).$
</small>","(30b:18:2) אציליו - איישיל""ש:"
"נפה/ו""ן",Niddah 31a,Rashi on Niddah 31a:18:3,,"2415 נידה לא. <b>נפה</b><br>ו""ן [van] wan <b>רחת</b><br><small>ראה לעיל מס' 448.$
</small>","(31a:18:3)  זרית - ביררת בנפה שקורין וו""ן כמו (ישעיהו ל) ברחת ובמזרה:"
"ברור/קלי""ר",Niddah 31a,Rashi on Niddah 31a:18:4,,"2416 נידה לא. <b>ברור</b><br>קלי""ר cler <b>בהיר, טהור, נבחר</b><br><small>ראה לעיל מס' 956.$
</small>","(31a:18:4) הברור - קלי""ר בלע""ז:"
"תונבא/אישטודישו""ן",Niddah 37b,Rashi on Niddah 37b:15:2,,"2417 נידה לז: <b>תונבא</b><br>אישטודישו""ן estordison <b>עילפון, הלם, מבוכה</b><br><small>ראה לעיל מס' 549.$
</small>","(37b:15:2) תונבא - אשטורדישו""ן. שאינה מרגשת בצערה מחמת שעמומית החולי:"
"קמטים/פרונצי""ש",Niddah 42b,Rashi on Niddah 42b:21:1,,"2418 נידה מב: <b>קמטים</b><br>פרונצי""ש fronces <b>קמטים</b><br><small>ראה לעיל מס' 481.$
</small>","(42b:21:1) קומטו - כגון בין אציליו או שאר קמטים פרונצ""ש בלע""ז:"
"שומא/וירוא""ה",Niddah 46a,Rashi on Niddah 46a:4:2,,"2419 נידה מו. <b>שומא</b><br>וירוא""ה [verrue] werue <b>יבלת</b><br><small>$
</small>","(46a:4:2) שומא - ורוא""ה בלע""ז. ודרכה ליגדל שער בה:"
"קמט/פרונצי""ש",Niddah 47a,Rashi on Niddah 47a:11:2,,"2420 נידה מז. <b>קמט</b><br>פרונצי""ש fronces <b>קמטים</b><br><small>ראה לעיל מס' 481. באחד מכתבי-היד פרונצ""א fronce ביחיד, גרסה המתאימה יותר לנוסח העברי.$
</small>","(47a:11:2) קמט - פרונצ""ש. שגדלו דדיה עד שכפול מעט על החזה ויראה כקמט:"
"עוקץ/פויצונ""ש",Niddah 47a,Rashi on Niddah 47a:11:5,,"2421 נידה מז. <b>עוקץ</b><br>פויצונ""ש poicons <b>פטמות</b><br><small>המלה הצרפתית חסרה במילונים. אפשר להסביר אותה בשלוש דרכים: א) במקום poincons (מכשיר דוקר), והוא עיקר; ב) הקטנה מלשון pois (אפונה), כלומר ""האפונה הקטנה""; ג) מלשון peiz (חזה), כלומר ""קצה החזה"". אולם, בהתחשב עם העובדה, שאף אחד מכתבי-היד אינו גורס כך (פויישונ""ש, פומבונ""ש, ובדפוס סונצינו פוציצ""ש), לוי (במילונו, מס' 786) מציע לקרוא, לפי כתב-יד נוס, (בברו""ן) ביבירו""ן biberon, באותה משמעות.$
</small>","(47a:11:5) עוקץ - כמו עוקצי האגסים (עוקצין פ""א מ""ו). פוכיצ""ש בלע""ז. חודו של דד שהתינוק יונק ופיטומת היינו סביבות עוקץ:"
"בחלה/אינקריישנ""ט",Niddah 47a,Rashi on Niddah 47a:13:1,,"2422 נידה מז. <b>בחלה</b><br>אינקריישנ""ט [encreissant] encreisant <b>מפריע, נמאס</b><br><small>רש""י מסביר, שלפועל ""בחל"" שתי הוראות מקבילות ""לגדול"" ו""להפריע, להימאס"", ורוצה להראות אותה הקבלה הצרפתית, בהצביעו על המלה encreisant, שמצד אחד משמעותה ""מתגדל"" (לשון creistre, בצרפתית של היום croitre), ומצד שני משמעותה ""להתל, להפריע"" (במובן זה צריך לקרוא אולי engreisant). כפי הנראה הדמיון בין שני הפעלים הצרפתיים מקרי, ואין מקור השני ידוע – ר' לעיל מס' 873 engres (עז רוח) ומס' 970 encres (מכבידים).$
</small>","(47a:13:1) בחלה בי - גדלה עלי. אדם הקץ בדבר נראה לו כגדול. אנקיישנ""ץ בלע""ז:"
"זוג/בטנ""ט",Niddah 47a,Rashi on Niddah 47a:18:1,,"2423 נידה מז. <b>זוג</b><br>בטנ""ט batant <b>ענבל</b><br><small>$
</small>","(47a:18:1) משיתקשקשו - כמו (סוטה דף ט:) מקשקשת לפניו כזוג בטנ""ט בלע""ז. כלומר גדולים הרבה:"
"נישוף/פריי""ר",Niddah 48b,Rashi on Niddah 48b:6:1,,"2424 נידה מח: <b>נישוף</b><br>פריי""ר freier <b>לשפשף, להסתחב</b><br><small>ראה לעיל מס' 2 ומס' 1210.$
</small>","(48b:6:1) שנישוף - פריי""ר בלע""ז כמו (יומא דף ל.) מצוה לשפשף:"
"סטיס/קרו""ג",Niddah 50a,Rashi on Niddah 50a:12:2,,"2425 נידה נ. <b>סטיס</b><br>קרו""ג crog <b>כרכום (קורטם?)</b><br><small>ראה לעיל מס' 323.$
</small>","(50a:12:2) סטים - קרו""ג:"
"קוצה/גישד""א",Niddah 50a,,"Rashi on Niddah 50a:12:3,
Rashi on Niddah 50a:12:1","2426 נידה נ. <b>קוצה</b><br>גישד""א [guesde] gesde <b>איסטיס, פַסטֵל (צמח, שמשורשו מפיקים צבע)</b><br><small>ראה לעיל מס' 323.$
</small>","(50a:12:3) קוצה - גויטר""א. ולא ידענא אמאי נקט ספיחים וכמדומה לי שהראשונים ראויים לאכילה:,
(50a:12:1) למעוטי ספיחי סטים וקוצה - דאין אוכל אלא מין צבע:"
"עולשין/קרישפיל""א",Niddah 50a,Rashi on Niddah 50a:15:1,,"2427 נידה נ. <b>עולשין</b><br>קרישפיל""א [crespele] crespele <b>עולש</b><br><small>ראה לעיל מס' 352.$
</small>","(50a:15:1) עולשין - עשב ושמו קרישפל""א:"
"סיאה/פוליו""ל",Niddah 51a,Rashi on Niddah 51a:10:2,,"2428 נידה נא. <b>סיאה</b><br>פוליו""ל poliol <b>סוג של נענה</b><br><small>$
</small>","(51a:10:2) הסיאה - פוליו""ל:"
"קורנית/שדריא""ה",Niddah 51a,Rashi on Niddah 51a:10:3,,"2429 נידה נא. <b>קורנית</b><br>שדריא""ה sadree <b>צתרה (צמח)</b><br><small>ראה לעיל מס' 434.$
</small>","(51a:10:3) והקורנית - שדריא""ה:"
"מנמר/טיי""ר",Niddah 51a,Rashi on Niddah 51a:20:2,,"2430 נידה נא. <b>מנמר</b><br>טיי""ר tajer <b>להכתים (לעבד שדה בשיטת כתמים, כלומר ללקט בו פה ושם)</b><br><small>$
</small>","(51a:20:2) מודים חכמים לרבי עקיבא - אע""פ דפליגי במנמר שדהו ושייר קלחים לחים. מנמר טיי""ר בלע""ז שמלקט כאן את המבושלים כל צרכן ומניח את הלחים שלא בשלו וחוזר ומלקט במקום אחר דהוה ליה מנומר. וקאמר ר' עקיבא כשהוא חוזר ולוקט נותן פאה מכל אחד ואחד שהקציר שבינתים מפסיק וחכמים אומרים פאה מאחת על הכל ומודים חכמים לרבי עקיבא בזורע שבת או חרדל כו'. להכי נקט הני שאין דרכן לעשות מהן ערוגה אלא זורען לתבלין בעלמא בשנים ושלשה מקומות. שבת אני""ט:"
