Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 140b:9	Man wandte ein: Der Geschlechtslose erbt gleich eine Sohne und ist zu unterhalten gleich einer Tochter. Allerdings ist nach Raba zu erklären, er erbe gleich einem Sohne, bei einem geringen Vermögen$fn34, und ist gleich einer Tochter zu unterhalten, bei einem großen Vermögen$fn35;
Bava Batra 141a:1	wieso aber ist er nach Abajje$fn36gleich einer Tochter zu unterhalten!? – Wieso erbt er, auch nach deiner Auffassung, nach Raba gleich einem Sohne$fn37!? Du mußt also erklären, er sei zur Erbschaft berechtigt, erhalte aber nichts$fn38, ebenso ist auch zu erklären, er sei zur Unterhaltung berechtigt, erhalte aber nichts$fn38.
Bava Batra 141a:2	W<small>ENN JEMAND GESAGT HAT: GEBIERT MEINE</small> F<small>RAU EINEN</small> K<small>NABEN &amp;C</small>. Demnach$fn39ist einem eine Tochter lieber als ein Sohn, und [dem widersprechend] sagte R. Joḥanan im Namen des R. Šimo͑n b. Joḥaj: Wenn jemand keinen Sohn hinterläßt, der ihn beerbt, so gerät der Heilige, gepriesen sei er, über ihn in Zorn, denn es heißt:$fn40<i>ihr sollt seinen Erbbesitz übergehen lassen</i>, und unter ‘Übergang’ ist der Zorn$fn41zu verstehen, denn es heißt:$fn42<i>ein Tag des Zornes ist jener Tag</i>!? –
Bava Batra 141a:3	Da, wo es sich um die Erbschaft handelt, bevorzugt man einen Sohn$fn43, hierbei aber, wo es sich um Unterhalt handelt, bevorzugt man eine Tochter$fn44.
Bava Batra 141a:4	Šemuél erklärte: Hier wird von einer Erstgebärenden gesprochen, und zwar nach R. Ḥisda, denn R. Ḥisda sagt: Eine Tochter zuerst ist ein gutes Zeichen für die Kinder. Manche erklären, weil sie die Brüder erziehen kann, und manche erklären, damit das böse Auge keine Gewalt$fn45habe. R. Ḥisda sagte: Mir sind Töchter lieber als Söhne.
Bava Batra 141a:5	Wenn du aber willst, sage ich: hier ist die Ansicht R. Jehudas vertreten. –
Bava Batra 141a:6	Welche Lehre R. Jehudas ist hier gemeint: wollte man sagen, die Lehre R. Jehudas hinsichtlich [des Wortes] <i>alles</i>, denn es wird gelehrt:$fn46<i>und der Herr segnete Abraham mit allem</i>, R. Meír erklärte, daß er keine Tochter hatte, und R. Jehuda erklärte, daß er eine Tochter hatte, (die Bakol [mit allem] hieß), so sagt ja R. Jehuda nur, daß der Allbarmherzige es Abraham auch an einer Tochter nicht fehlen ließ, sagte er etwa, daß sie einem Sohne vorzuziehen sei!? –
Bava Batra 141a:7	Vielmehr, es ist R. Jehuda der folgenden Lehre: Es ist Gebot, die Töchter zu ernähren, und um so mehr die Söhne, weil diese sich mit der Tora befassen – so R. Meír. R. Jehuda sagt, es sei Gebot, die Söhne zu ernähren, und um so mehr die Töchter, damit sie nicht entwürdigt$fn47werden. –
Bava Batra 141a:8	Von welchem Falle spricht die Lehre, daß, wenn sie einen Knaben und ein Mädchen geboren hat, der Knabe sechs Denar$fn48und das Mädchen zwei Denar erhalte?
Bava Batra 141a:9	R. Aši erwiderte: Ich trug dies R. Kahana vor, [und er erklärte,] von dem Falle, wenn er auch umgekehrt$fn49und gesagt hat: wenn einen Knaben zuerst, so erhalte er zweihundert [Zuz], und das Mädchen nachher erhalte nichts, und wenn ein Mädchen zuerst, so erhalte es hundert, und der Knabe nachher hundert, und sie einen Knaben und ein Mädchen geboren hat, und man nicht weiß, wer zuerst hervorgekommen ist; der Knabe erhält auf jeden Fall eine Mine, und über die andere Mine besteht ein Zweifel und sie ist daher zu teilen. –
Bava Batra 141a:10	Von welchem Falle spricht die Lehre, daß, wenn sie einen Knaben und ein Mädchen geboren hat, er nur eine Mine erhalte? Rabina erwiderte: Dies gilt vom Verkünder,
Bava Batra 141b:1	denn es wird gelehrt: [Sagte jemand:] wer mir verkündet, wovon meine Frau entbunden$fn50wurde, erhalte, wenn es ein Knabe ist, eine Mine, so erhält dieser, wenn sie einen Knaben gebiert, eine Mine; wenn es ein Mädchen ist, eine Mine, so erhält dieser, wenn sie ein Mädchen gebiert, eine Mine, und wenn sie einen Knaben und ein Mädchen gebiert, so erhält er nur eine Mine. –
Bava Batra 141b:2	Er hat ja von einem Knaben und einem Mädchen nicht gesprochen!? – Wenn er auch gesagt hat: wenn einen Knaben und ein Mädchen, so erhalte er eine Mine. – Was schließt dies demnach$fn51aus!? – Dies schließt eine Fehlgeburt aus.
Bava Batra 141b:3	Einst sprach jemand zu seiner Frau: Mein Vermögen soll dem gehören, mit dem du schwanger bist. Da entschied R. Hona: Er hat es einem Fötus zugeeignet, und wenn jemand etwas einem Fötus zueignet, so eignet er es nicht.
Bava Batra 141b:4	R. Naḥman wandte gegen R. Hona ein: Wenn jemand gesagt hat: gebiert meine Frau einen Knaben, so soll er eine Mine erhalten, und sie einen Knaben gebiert, so erhält er eine Mine!? Dieser erwiderte: Ich weiß nicht, wer der Autor unserer Mišna ist$fn52. –
Bava Batra 141b:5	Sollte er ihm doch erwidert haben, sie vertrete die Ansicht R. Meírs, welcher sagt, man könne auch das zueignen, was noch nicht auf die Welt gekommen ist!? –
Bava Batra 141b:6	R. Meír ist dieser Ansicht nur in dem Falle, wenn dieser$fn53auf der Welt vorhanden ist, ist er dieser Ansicht etwa auch in dem Falle, wenn dieser nicht auf der Welt vorhanden ist!? –
Bava Batra 141b:7	Sollte er ihm doch erwidert haben, sie vertrete die Ansicht R. Joses, welcher sagt, der Fötus könne eignen!? Wir haben nämlich gelernt: Der Fötus macht [für die Hebe] untauglich, aber nicht zu essen$fn55berechtigt – so R. Jose!? –
Bava Batra 141b:8	Anders verhält es sich bei der Erbschaft, die von selber kommt$fn56. –
Bava Batra 141b:9	Sollte er ihm doch erwidert haben, sie vertrete die Ansicht des R. Joḥanan b. Beroqa, welcher sagt, es gebe keinen Unterschied zwischen Erbschaft und Schenkung!? Wir haben nämlich gelernt: R. Joḥanan b. Beroqa sagte: Sagte er es$fn57von einem, der Anwartschaft hat, ihn zu beerben, so sind seine Worte gültig. –
Bava Batra 141b:10	R. Joḥanan sagt dies nur von dem Falle, wenn dieser auf der Welt vorhanden ist, sagt er dies etwa auch von dem Falle, wenn dieser nicht auf der Welt vorhanden ist. –
Bava Batra 141b:11	Sollte er ihm doch erwidert haben, sie vertrete die Ansicht des R. Joḥanan b. Beroqa, und dieser sei der Ansicht R. Joses$fn58!? –
Bava Batra 141b:12	Wer sagt, daß er es ist!? – Sollte er ihm doch erwidert haben, [die Mišna spreche] von einem Verkünder$fn59!? – Wie wäre demnach der Schlußsatz zu erklären: ist kein anderer Erbe als dieser vorhanden, so erbt er alles; was hat, wenn hier von einem Verkünder gesprochen wird, dieser mil der Erbschaft zu tun!? –
Bava Batra 141b:13	Sollte er ihm doch erwidert haben: in dem Falle, wenn sie bereits geboren hat$fn60!? – Wie ist demnach der Schlußsatz zu erklären: sagte er aber: was meine Frau gebiert, soll erhalten, so erhält es auch dieser; wieso heißt es demnach gebiert, es müßte ja heißen: geboren hat!? –
Bava Batra 142a:1	Sollte er ihm doch erwidert haben: wenn er gesagt hat: sobald sie es geboren haben wird$fn61!? R. Hona vertritt hierbei seine Ansicht, denn R. Hona sagte, auch wenn er ‘geboren haben wird’ [gesagt hat], habe [das Kind] es nicht geeignet.
Bava Batra 142a:2	R. Naḥman sagt nämlich, wenn jemand etwas einem Fötus zueignet, habe er es nicht geeignet; [sagte er:] sobald er geboren ist, habe er es geeignet. R. Hona sagt, auch wenn [er gesagt hat:] sobald er geboren ist, habe er es nicht geeignet. R. Šešeth sagt, ob so oder so habe er es geeignet.
Bava Batra 142a:3	R. Šešeth sagte: Dies entnehme ich aus folgender Lehre: Wenn ein Proselyt gestorben$fn62ist und Jisraéliten sein Vermögen geplündert haben, und darauf erfahren, daß er einen Sohn hat oder daß seine Frau schwanger ist, so müssen sie es zurückgeben; wenn sie alles zurückgegeben haben und nachher erfahren, daß sein Sohn gestorben ist oder seine Frau abortiert hat, so hat der es geeignet, der es zum zweiten Male$fn63in Besitz genommen hat, und der es zum ersten Male in Besitz genommen hat, nicht geeignet.
Bava Batra 142a:4	Wozu brauchen sie es nun, wenn man sagen wollte, ein Fötus könne nichts eignen, zum zweiten Male in Besitz zu nehmen, sie haben es ja bereits in Besitz genommen$fn64!?
Bava Batra 142a:5	Abajje entgegnete: Anders verhält es sich bei einer Erbschaft, da sie von selber$fn65kommt. Raba entgegnete: Anders verhält es sich in diesem Falle, da es von vornherein nur lose in ihre Hände$fn66gekommen war. –
Bava Batra 142a:6	Welchen Unterschied gibt es zwischen ihnen$fn67? – Einen Unterschied gibt es zwischen ihnen in dem Falle, wenn sie von ihm gehört haben, daß er gestorben sei, während er in Wirklichkeit nicht gestorben war, später aber gestorben ist$fn68. –
Bava Batra 142a:7	Komm und höre: Ein einen Tag altes Kind erbt und vererbt. Nur wenn es einen Tag alt ist, ein Fötus aber nicht!? – R. Šešeth erklärte ja, es erbe das mütterliche Vermögen, um es den Brüdern väterlicherseits zu vererben$fn69. Daher nur dann, wenn es einen Tag alt ist, nicht aber ein Fötus,
Bava Batra 142b:1	weil er dann$fn70zuerst gestorben ist, und der Sohn seine Mutter nicht im Grabe$fn71beerbt, um es seinen Brüdern väterlicherseits zu vererben. –
Bava Batra 142b:2	Demnach stirbt [der Fötus] zuerst, und dem widersprechend ereignete es sich ja einst, daß er dreimal zuckte$fn72!? Mar b. R. Aši erwiderte: Auch der Schwanz einer Eidechse zuckt$fn73ja.
Bava Batra 142b:3	Mar, Sohn des R. Joseph, erklärte im Namen Rabbas: Dies$fn74besagt, daß es den Erstgeburtsanteil vermindere$fn75. Nur wenn es einen Tag alt ist, nicht aber ein Fötus, denn der Allbarmherzige sagt:$fn76<i>und ihm gebären</i>$fn77<i>.
Bava Batra 142b:4	</i> Mar, Sohn des R. Joseph, sagte nämlich im Namen Rabbas: Ein Sohn, der nach dem Tode seines Vaters geboren worden ist, vermindert nicht den Erstgeburtsanteil$fn78, denn es heißt: <i>und ihm gebären</i>, was hierbei nicht der Fall ist.
Bava Batra 142b:5	So lehrten sie dies in Sura, in Pumbeditha aber lehrten sie es wie folgt: Mar, Sohn des R. Joseph, sagte im Namen Rabbas: Wenn ein Erstgeborener nach dem Tode seines Vaters geboren$fn79wurde, so erhält er keinen doppelten Anteil, denn der Allbarmherzige sagt:$fn80<i>anerkennen</i>, was hierbei nicht der Fall ist. Die Halakha ist nach allen diesen Lehren, die Mar, Sohn des R. Joseph, im Namen Rabbas sagte, zu entscheiden.
Bava Batra 142b:6	R. Jiçḥaq sagte im Namen R. Joḥanans: Wenn jemand etwas einem Fötus zueignet, so hat er es nicht geeignet. Wenn man aber einen Einwand aus unserer Mišna$fn81erheben will, [so ist zu erwidern:] weil jeder seinem Sohne zugetan ist$fn82.
Bava Batra 142b:7	Šemuél sprach zu R. Hona aus Bagdad: Geh, hole mir zehn Leute und ich werde dir vor ihnen$fn83sagen, wenn jemand etwas seinem Fötus zueignet, habe er es geeignet. Die Halakha ist, wenn jemand etwas einem Fötus zueignet, so hat er es nicht geeignet.
Bava Batra 142b:8	Einst sagte jemand zu seiner Frau: Mein Vermögen soll den Kindern, die ich von dir haben werde, gehören. Da kam sein ältester Sohn$fn84und sprach zu ihm: Was soll aus mir werden!? Dieser erwiderte: Geh, eigne gleich jedem der anderen Söhne. Jene$fn85eignen entschieden nichts, denn sie sind noch gar nicht vorhanden;
Bava Batra 142b:9	hat aber der Erwachsene einen Anteil neben den Söhnen oder hat der Erwachsene keinen Anteil neben den Söhnen? R. Abin, R. Mejaša und R. Jirmeja sagten, der Erwachsene habe einen Anteil neben den Söhnen; R. Abahu, R. Ḥanina b. Papi und R. Jiçḥaq der Schmied sagten, der Erwachsene habe keinen Anteil neben den Söhnen.
Bava Batra 142b:10	R. Abahu sprach zu R. Jirmeja: Ist die Halakha nach unserer Ansicht oder nach euerer Ansicht zu entscheiden? Dieser erwiderte: Selbstverständlich ist sie nach unserer Ansicht zu entscheiden, denn wir sind älter als ihr, und nicht nach eurer Ansicht, denn ihr seid jünger. Jener entgegnete: Die Sache hängt ja nicht vom Alter ab, sondern von der Begründung; was ist euer Grund? – Geh zu R. Abin, denn ich habe es ihm im Lehrhause erklärt,
Bava Batra 143a:1	und er nickte mit dem Kopfe$fn86. Hierauf ging er zu ihm, und dieser sprach zu ihm: Würde jemand denn eignen, wenn einer zu ihm sagen würde: eigne dies gleich einem Esel$fn87!?
Bava Batra 143a:2	Es wurde nämlich gelehrt: [Sagte jemand:] eigne dies gleich einem Esel, so hat er es nicht geeignet; wenn aber: du und der Esel, so hat er, wie R. Naḥman sagt, die Hälfte, wie R. Hamnuna sagt, nichts, und wie R. Šešeth sagt, alles geeignet.
Bava Batra 143a:3	R. Šešeth sprach: Dies entnehme ich aus folgender Lehre: R. Jose sagte: Bei Gurken ist nur das Innere bitter, daher muß man, wenn man von diesen die Hebe entrichtet, etwas zum Äußeren hinzufügen.
Bava Batra 143a:4	Weshalb denn, dies gleicht ja dem Falle: du und der Esel$fn88!? –
Bava Batra 143a:5	Anders verhält es sich da, denn nach der Tora ist die Hebe gültig$fn89.
Bava Batra 143a:6	R. Ilea͑ sagte nämlich: Woher, daß die Absonderung der Hebe vom Schlechten für das Gute gültig ist? Es heißt<i>:</i>$fn90<i>ihr sollt seinethalben auf euch keine Sünde laden, wenn ihr das Beste davon abhebt</i>, und wenn es nicht heilig$fn91wäre, könnte ja keine Sünde aufgeladen werden. Hieraus also, daß die Absonderung der Hebe vom Schlechten für das Gute gültig ist.
Bava Batra 143a:7	R. Mordekhaj sprach zu R. Aši: R. Ivja erhob dagegen folgenden Einwand: Einst ereignete sich ein Fall mit fünf Frauen, unter welchen zwei Schwestern waren, daß jemand einen Korb mit Feigen sammelte, die ihnen gehörten und vom Siebentjähre$fn92waren, und zu ihnen sprach: ihr alle sollt mir mit diesem Korbe$fn93angetraut sein, und eine von ihnen ihn für alle entgegennahm. Da entschieden die Weisen, die Schwestern seien nicht$fn94angetraut.
Bava Batra 143a:8	Also nur die Schwestern nicht, wohl aber die Fremden; weshalb denn, dies gleicht ja dem Falle: du und der Esel$fn95!?
Bava Batra 143a:9	Dieser erwiderte: Deshalb sah ich auch R. Hona b. Ivja im Traume, denn R. Ivja erhob dagegen einen Einwand. Haben wir etwa nicht erklärt, wenn er gesagt hat: diejenigen von euch, die zum Beischlafe geeignet$fn96sind, sollen mir angetraut sein.
Bava Batra 143a:10	Einst sagte jemand zu seiner Frau: Mein Vermögen soll dir und deinen Kindern gehören. Da entschied R. Joseph, sie erhalte die Hälfte. R. Joseph sprach: Dies entnehme ich aus folgender Lehre<i>:</i>$fn97<i>Es soll Ahron und seinen Söhnen gehören</i>, die Hälfte Ahron und die Hälfte seinen Söhnen.
Bava Batra 143a:11	Abajje sprach zu ihm: Allerdings gilt dies dort, denn Ahron war an der Verteilung mitbeteiligt, und wenn der Allbarmherzige dies noch besonders erwähnt, so besagt dies, daß er die Hälfte erhalte, eine Frau aber ist ja an der Erbschaft nicht beteiligt, somit genügt es, wenn sie einen Anteil gleich einem der Söhne erhält. –
Bava Batra 143a:12	Dem ist aber nicht so; einst ereignete sich ein solcher Fall in Nehardea͑, und Šemuél ließ die Hälfte einfordern; in Tiberjas, und R. Joḥanan ließ die Hälfte einfordern. Ferner erzählte R. Jiçḥaq b. Joseph, als er kam, daß, als man einst von der Regierung auf Bule und Startege$fn98das Geld zur Herstellung einer Krone auferlegte, Rabbi entschied, daß Bule die Hälfte und Startege die Hälfte zu geben haben. –
Bava Batra 143a:13	Was soll dies: da mußte, wenn man Bule etwas auferlegte, auch Startege beitragen, und da es bei der Regierung bekannt war, daß beide beizutragen haben, so wurden Bule und Startege im Schriftstück deshalb besonders genannt, damit diese die Hälfte und jene die Hälfte beitragen.
Bava Batra 143a:14	R. Zera wandte ein: Sagte jemand: ich nehme auf mich, ein Speisopfer von hundert Zehntel in zwei Gefäßen darzubringen, so muß er sechzig in einem Gefäße und vierzig in einem anderen Gefäße darbringen;
Bava Batra 143b:1	hat er fünfzig in einem Gefäße und fünfzig in einem anderen Gefäße dargebracht, so hat er seiner Pflicht genügt. Nur wenn er dargebracht hat, nicht aber von vornherein; wenn man nun sagen wollte, in solchen Fällen sei Hälfte und Hälfte zu verstehen, so sollte es auch von vornherein erlaubt sein!? –
Bava Batra 143b:2	Was soll dies: in diesem Falle sind wir Zeugen, daß dieser von vornherein ein möglichst großes Opfer darbringen wollte, und nur deshalb sagte er: in zwei Gefäßen, weil er wußte, daß es$fn99in einem Gefäße nicht darzubringen ist; daher muß er es in der möglichsten Größe darbringen.
Bava Batra 143b:3	Die Halakha ist wie R. Joseph beim Felde$fn100, bei der Angelegenheit$fn101und bei der Hälfte$fn102.
Bava Batra 143b:4	Einst sandte jemand Stücke Seidenstoff nach Hause. Da entschied R. Ami: Was für die Söhne geeignet ist, gehöre den Söhnen, und was für die Töchter geeignet ist, gehöre den Töchtern. Dies gilt jedoch nur von dem Falle, wenn er keine Schwiegertochter hat, wenn er aber eine Schwiegertochter hat, so hat er [das Geschenk] seiner Schwiegertochter gesandt. Wenn aber seine Töchter nicht verheiratet$fn103sind, so übergeht niemand seine Töchter und beschenkt seine Schwiegertochter.
Bava Batra 143b:5	Einst verfügte jemand: mein Vermögen soll meinen Söhnen gehören, und er hatte einen Sohn und eine Tochter. Nennt man einen Sohn ‘Söhne’, und er wollte seiner Tochter das Zehntel$fn104entziehen, oder nennt man einen Sohn nicht ‘Söhne’, und er wollte seine Tochter$fn105einbegreifen, daß sie es als Geschenk erhalte? –
Bava Batra 143b:6	Komm und höre:$fn106<i>Und die Söhne Dans:Ḥušim</i>. Raba erwiderte: Vielleicht ist dies nach dem Autor aus der Schule Ḥizqijas zu erklären, daß sie nämlich so zahlreich waren wie die Sträucher [ḥušim]!? Vielmehr, erklärte Raba:$fn107<i>Die Söhne Phalus: Eliab</i>. R. Joseph erklärte:$fn108<i>Die Söhne Ethans: A͑zarja</i>$fn109.
Bava Batra 143b:7	Einst sprach jemand: mein Vermögen soll meinen Söhnen gehören, und er hatte einen Sohn und einen Enkelsohn. Nennt man einen Enkelsohn ‘Sohn’ oder nicht$fn110? R. Ḥabiba sagte, man pflege auch einen Enkelsohn ‘Sohn’ zu nennen, und Mar b. R. Aši sagte, man pflege einen Enkelsohn nicht ‘Sohn’ zu nennen. Übereinstimmend mit Mar b. R. Aši wird gelehrt: Wer sich den Genuß von seinen Kindern abgelobt hat, darf von den Kindern der Kinder genießen.
Bava Batra 143b:8	<sup>iii</sup> <b>W</b><small>ENN JEMAND ERWACHSENE UND UNERWACHSENE</small> K<small>INDER HINTERLASSEN HAT, UND DIE ERWACHSENEN DIE</small> G<small>ÜTER MELIORIERT</small>$fn111<small>HABEN, SO HABEN SIE FÜR DIE</small> M<small>ASSE MELIORIERT</small>. W<small>ENN SIE ABER GESAGT</small>$fn112<small>HABEN: SEHT, WAS UNSER</small> V<small>ATER HINTERLASSEN HAT, WIR WOLLEN ES BEARBEITEN</small>$fn113<small>UND</small> [<small>DEN</small> E<small>RTRAG</small>] <small>GENIESSEN, SO HABEN SIE ES FÜR SICH</small>$fn114<small>MELIORIERT</small>. E<small>BENSO HAT EINE</small> F<small>RAU, WENN SIE DIE</small> G<small>ÜTER</small>$fn115<small>MELIORIERT HAT, DIESE FÜR DIE</small> M<small>ASSE MELIORIERT; WENN SIE ABER GESAGT HAT: SEHT, WAS MEIN</small> M<small>ANN MIR HINTERLASSEN HAT, ICH WILL ES BEARBEITEN UND</small> [<small>DEN</small> E<small>RTRAG</small>] <small>GENIESSEN, SO HAT SIE ES FÜR SICH MELIORIERT</small>.
Bava Batra 143b:9	GEMARA. R. Ḥabiba, Sohn des R. Joseph, des Sohnes Rabas, sagte im Namen Rabas: Dies$fn116gilt nur von dem Falle, wenn die Melioration der Güter durch die Güter$fn117erfolgt ist, wenn aber die Melioration durch sie selber$fn118erfolgt ist, so haben sie sie für sich selbst melioriert. –
Bava Batra 143b:10	Dem ist ja aber nicht so, R. Ḥanina sagte ja, selbst wenn der Vater ihnen nur einen Deckelbrunnen$fn119hinterlassen hat,
Bava Batra 144a:1	sei der Gewinn für die Masse, und bei einem Deckelbrunnen erfolgt ja [der Gewinn] durch sie$fn120selber!? – Anders verhält es sich bei einem Deckelbrunnen; bei diesem erfolgt dies nur durch die Bewachung$fn121, und bewachen können ihn auch Kinder$fn122.
