Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 31a:7	am Mittwoch, weil er an diesem Sonne und Mond erschuf und dereinst ihre Anbeter bestrafen wird; am Donnerstag, weil er an diesem Vögel und Fische erschuf, seinem Namen zu huldigen; am Freitag, weil er an diesem sein Werk beendete und es regiert; am Šabbath, weil er an diesem feierte.
Rosh Hashanah 31a:8	Sie streiten über die Lehre R. Qaṭṭinas, denn R. Qaṭṭina sagte: Sechstausend Jahre werde die Welt bestehen und ein[tausend] zerstört sein, denn es heißt:$fn29<i>und der Herr wird allein an jenem Tage erhaben sein</i>. Abajje aber sagte, zweitausend werde sie zerstört sein, denn es heißt :$fn30<i>er wird uns nach zwei Tagen beleben</i>. –
Rosh Hashanah 31a:9	Was sangen sie beim Zusatzopfer des Šabbaths? R. Ḥanan b. Raba erwiderte im Namen Rabhs: <i>HZJVLK</i>$fn31. 
Rosh Hashanah 31a:10	Ferner sagte R. Ḥanan b. Raba im Namen Rabhs: Wie [diese Lieder] diesbezüglich geteilt werden, so werden sie auch im Bethause geteilt$fn32. – 
Rosh Hashanah 31a:11	Was sagen sie beim Vesperopfer des Šabbaths? R.Joḥanan erwiderte:$fn33<i>Damals sang</i>:$fn34<i>Wer gleicht dir</i>;$fn35<i>Damals sang</i>. 
Rosh Hashanah 31a:12	Sie fragten: Sangen sie all diese [Verse] an jedem Šabbath oder [abwechselnd], an jedem Šabbath einen? – Komm und höre, es wird gelehrt: R. Jose sagte, während der erste [Chor] einen Turnus machte, machte der zweite zwei$fn36. Hieraus ist zu schließen, daß sie an jedem Šabbath einen sangen. Schließe hieraus.
Rosh Hashanah 31a:13	R. Jehuda b.Idi sagte im Namen R. Joḥanans: Zehn Wanderungen machte die Göttlichkeit, wie dies aus Schriftversen zu entnehmen ist, und dementsprechend wanderte das Synedrium zehnmal aus, wie dies überliefert ist. 
Rosh Hashanah 31a:14	Zehn Wanderungen machte die Göttlichkeit, wie dies aus Schriftversen zu entnehmen ist: vom Sühnedeckel auf den Kerub, vom Kerub auf den Kerub, vom Kerub auf die Schwelle, von der Schwelle in den Hof, vom Hof auf den Altar, vom Altar auf das Dach, vom Dach auf die Mauer, von der Mauer in die Stadt, von der Stadt auf den Berg, vom Berge in die Wüste, und von der Wüste stieg sie hinauf und kehrte zu ihrer Stätte zurück, denn es heißt:$fn37<i>ich gehe und kehre zu meiner Stätte zurück</i>.
Rosh Hashanah 31a:15	Vom Sühnedeckel auf den Kerub, vom Kerub auf den Kerub, vom Kerub auf die Schwelle, denn es heißt :$fn38<i>dort werde ich mich dir offenbaren und mit dir reden, von der Deckplatte aus</i>, und es heißt :$fn39<i>er ritt auf einem Kerub und flog dahin</i>, und es heißt:$fn40<i>und die Herrlichkeit des Gottes Jisraéls hatte sich vom Kerub, auf dem sie gewesen war, hinweg gehoben, zur Schwelle des Hauses hin</i>.
Rosh Hashanah 31a:16	Von der Schwelle in den Hof, denn es heißt:$fn41<i>und das Haus ward von der Wolke erfüllt und der Vorhof ward vom Glanze der Herrlichkeit des Herrn erfüllt</i>. Vom Hofe auf den Altar, denn es heißt:$fn42<i>ich sah Gott am Altar stehen</i>. Vom Altar auf das Dach, denn es heißt :$fn43<i>lieber auf der Zinne eines Dachs wohnen</i>. Vom Dache auf die Mauer, denn es heißt:$fn44<i>siehe, der Herr stand auf einer nach dem Bleilot gebauten Mauer</i>. Von der Mauer in die Stadt, denn es heißt :$fn45<i>der Herr ruft der Stadt zu</i>. 
Rosh Hashanah 31a:17	Von der Stadt auf den Berg, denn es heißt :$fn46<i>und die Herrlichkeit des Herrn erhob sich mitten aus der Stadt hinweg und ließ sich auf dem Berge nieder, der östlich von der Stadt liegt</i>. Vom Berge in die Wüste, denn es heißt:$fn47<i>besser ist es in der Wüste zu wohnen</i>. Von der Wüste stieg sie hinauf und kehrte zu ihrer Stätte zurück, denn es heißt: <i>ich gehe und kehre zu meiner Stätte zurück &amp;c</i>.
Rosh Hashanah 31a:18	R.Joḥanan sagte: Sechs Monate entzog sich die Göttlichkeit den Jisraéliten [und verweilte] in der Wüste, und als sie trotzdem keine Buße taten, sprach er: Mögen sie ihre Seelen aushauchen, denn es heißt :$fn48<i>der Frevler Augen schmachten hin, für sie ist jede Zuflucht verloren, ihre Hoffnung: die Seele aushauchen</i>. 
Rosh Hashanah 31a:19	Dementsprechend wanderte das Synedrium zehnmal aus, wie es überliefert ist: von der Quaderhalle$fn49nach der Kaufhalle, von der Kaufhalle nach Jerušalem, von Jerušalem nach Jabne, 
Rosh Hashanah 31b:1	von Jabne nach Uša, von Uša nach Jabne, von Jabne nach Šaphraa͑m, von Šaphraa͑m nach Beth Šea͑rim, von Beth Šea͑rim nach Sepphoris und von Sepphoris nach Ṭiberjas; am tiefsten war sie in Ṭiberjas, denn es heißt:$fn50<i>daβ du tief drunten von der Erde her redest</i>. 
Rosh Hashanah 31b:2	R. Elea͑zar sagt, sechsmal sei sie ausgewandert, denn es heißt:$fn51<i>niedergestreckt hat er, die in der Höhe wohnten, die hochragende Stadt warf er nieder, er warf sie bis zu Boden ninder, stieβ sie bis in den Staub hinab</i>$fn52. R. Joḥanan sagte: Von hier aus werden sie dereinst auch erlöst, denn es heißt:$fn53<i>schüttl dich vom Staube ab, erhebe und setze dich</i>.
Rosh Hashanah 31b:3	<sup>iv,2</sup> <b>R.</b> J<small>EHOŠUA͑B</small>.Q<small>ORḤA SAGTE:</small> A<small>UCH FOLGENDES ORDNETE R</small>. J<small>OḤANAN B</small>. Z<small>AKKAJ AN, DASS NÄMLICH DIE</small> Z<small>EUGEN, WO DER</small> G<small>ERICHTSPRÄSIDENT SICH AUCH BEFINDET, SICH NUR DAHIN ZU BEGEBEN HABEN, WO DAS</small> G<small>ERICHTSKOLLEGIUM SICH BEFINDET</small>.
Rosh Hashanah 31b:4	GEMARA. Einst wurde eine Frau vor Amemar in Nehardea͑ vor Gericht geladen; er aber ging dann nach Mahoza und sie folgte ihm nicht. Da erließ er gegen sie ein gerichtliches Verfahren$fn54. R. Aši sprach zu ihm: Wir haben ja gelernt, die Zeugen haben, wo der Gerichtspräsident sich auch befindet, sich nur dahin zu begeben, wo das Gerichtskollegium sich befindet!?
Rosh Hashanah 31b:5	Dieser erwiderte: Dies gilt nur von der Zeugenaussage über den Neumond, weil man ihnen sonst einen Anstoß für die Zukunft legt$fn55, hierbei aber heißt es :$fn56<i>der Schuldner ist Knecht des Gläubigers</i>.
Rosh Hashanah 31b:6	Die Rabbanan lehrten: Die Priester dürfen die Estrade [zum Priestersegen] nicht mit ihren Sandalen betreten. Dies ist eine der neun Anordnungen, die R. Joḥanan b.Zakkaj getroffen hat. Sechs in diesem Abschnitte, eine im ersten Abschnitte$fn57
Rosh Hashanah 31b:7	und eine in folgender Lehre: Ein Proselyt, der sich in der Jetztzeit bekehrt hat, muß für seine Vogelopfer$fn58 ein Viertel [Šeqel] zurücklegen. R. Šimo͑n b.Elea͑zar sprach: R. Joḥanan [b.Zakkaj] ließ bereits abstimmen und hob dies auf, wegen des Anstoßes$fn59. –
Rosh Hashanah 31b:8	Und die [neunte]? Hierüber besteht ein Streit zwischen R. Papa und R. Naḥman b. Jiçḥaq. R. Papa sagt, sie betreffe den vierjährigen Weinberg, und R. Naḥman b.Jiçḥaq sagt, sie betreffe den rotglänzenden Streifen.
Rosh Hashanah 31b:9	R. Papa sagt, sie betreffe den vierjährigen Weinberg, denn wir haben gelernt: [Früher] brachte man aus allen eine Tagereise entfernten Orten um Jerušalem [die Früchte] des vierjährigen Weinbergs nach Jerušalem. Welche bilden die Grenzorte? Südlich Elath, nördlich A͑qrebath, westlich Lud und östlich der Jarden. 
Rosh Hashanah 31b:10	Hierzu sagte U͑la, nach anderen Rabba b. U͑la, im Namen R. Joḥanans: Aus welchem Grunde? Um die Straßen Jerušalems mit Früchten zu schmücken. 
Rosh Hashanah 31b:11	Ferner wird gelehrt: R. Elie͑zer hatte einen vierjährigen Weinberg, im Osten von Lud, seitwärts von Kepher Ṭabi, und er wollte ihn den Armen freigeben$fn60. 
Rosh Hashanah 31b:12	Da sprachen seine Schüler zu ihm: Meister, bereits haben deine Genossen gegen dich abgestimmt und [einen solchen] erlaubt. – Wer sind diese Genossen. – R. Joḥanan b.Zakkaj. 
Rosh Hashanah 31b:13	R. Naḥman b.Jiçḥaq sagt, sie betreffe den rotglänzenden Streifen, denn es wird gelehrt: Anfangs pflegte man ihm$fn61den rotglänzenden Streifen an der Tür der Vorhalle außerhalb umzubinden; ward er weiß, so war man froh, ward er nicht weiß, so war man traurig$fn62; da ordnete man an, ihn an der Tür der Vorhalle innerhalb umzubinden.
Rosh Hashanah 31b:14	Aber immer noch lugte man durch und beobachtete; ward er weiß, so war man froh, ward er nicht weiß, so war man traurig, da ordnete man an, die Hälfte an den Felsen$fn63und die Hälfte zwischen die Hörner des Bockes zu binden. – 
Rosh Hashanah 31b:15	Aus welchem Grunde sagt R. Naḥman b.Jiçḥaq nicht wie R. Papa? – Er kann dir erwidern: wieso heißt es, wenn es R. Joḥanan b.Zakkaj war, ‘deine Genossen’. Er war ja ein Lehrer R. Elie͑zers!? – Und jener!? – Da es seine Schüler waren, so war es nicht schicklich, zum Lehrer ‘dein Lehrer’ zu sagen. – 
Rosh Hashanah 31b:16	Aus welchem Grunde sagt R. Papa nicht wie R. Naḥman b. Jiçḥaq? – Er kann dir erwidern: wollte man sagen, es war R. Joḥanan b.Zakkaj, so gab es ja zu seiner Zeit keinen rotglänzenden Streifen. Es wird nämlich gelehrt: Das ganze Leben des R. Joḥanan b.Zakkaj betrug hundertundzwanzig Jahre; vierzig Jahre befaßte er sich mit dem Warenhandel, vierzig Jahre studierte er und vierzig Jahre lehrte er. 
Rosh Hashanah 31b:17	Ferner wird gelehrt: Vierzig Jahre vor der Zerstörung des Tempels wurde der rotglänzende Streifen nicht mehr weiß, sondern blieb rot. Ferner haben wir gelernt: Nachdem der Tempel zerstört wurde, ordnete R. Joḥanan b.Zakkaj$fn64an. – Und jener!? – In den vierzig Jahren, während welcher$fn65er noch studierte, war er Vortragender Schüler, und wenn er etwas sagte, das als begründet einleuchtete, 
Rosh Hashanah 32a:1	setzte man$fn66es in seinem Namen fest.
Rosh Hashanah 32a:2	<sup>v</sup> <b>D</b><small>IE</small> R<small>EIHENFOLGE DER</small> S<small>EGENSSPRÜCHE: MAN SPRECHE</small> [<small>DIE</small> S<small>EGENSSPRÜCHE</small>] <small>VON DEN</small> V<small>ÄTERN, VON DER</small> A<small>LLMACHT UND VON DER</small> H<small>EILIGUNG</small>$fn67 <small>DES</small> G<small>OTTESNAMENS, WOMIT MAN AUCH</small> [<small>DIE</small> V<small>ERSE</small>] <small>VOM</small> K<small>ÖNIGTUME</small> [<small>GOTTES</small>] <small>VERBINDE, OHNE DABEI ZU BLASEN</small>, 
Rosh Hashanah 32a:3	[<small>DEN</small> S<small>EGEN</small>] <small>VON DER</small> W<small>EIHE DES</small> T<small>AGES, WOBEI MAN BLASE</small>, [<small>DIE</small> V<small>ERSE</small>] <small>VON DEN</small> E<small>RINNERUNGEN, WOBEI MAN BLASE</small>, [<small>DIE</small> V<small>ERSE</small>] <small>VON DER</small> P<small>OSAUNE, WOBEI MAN BLASE, SODANN</small> [<small>DEN</small> S<small>EGEN</small>] <small>VOM</small> T<small>EMPELDIENSTE, DEN</small> D<small>ANKSEGEN UND DEN</small> P<small>RIESTERSEGEN</small>$fn68 – <small>SO R</small>. J<small>OḤANAN B</small>. N<small>URI.
Rosh Hashanah 32a:4	R</small>. A͑<small>QIBA SPRACH ZU IHM:</small> W<small>OZU ERWÄHNT MAN</small> [<small>DIE</small> V<small>ERSE</small>] <small>VOM</small> K<small>ÖNIGTUME</small> [G<small>OTTES</small>], <small>WENN MAN DABEI NICHT BLÄST!?</small> V<small>IELMEHR SPRECHE MAN</small> [<small>DIE</small> S<small>EGENSSPRÜCHE</small>] <small>VON DEN</small> V<small>ÄTERN, VON DER</small> A<small>LLMACHT UND VON DER</small> H<small>EILIGUNG DES GOTTESNAMENS, UND</small> [<small>DIE</small> V<small>ERSE</small>] <small>VOM</small> K<small>ÖNIGTUME</small> [G<small>OTTES</small>] <small>VERBINDE MAN MIT DEM</small> S<small>EGEN VON DER</small> W<small>EIHE DES</small> T<small>AGES, WOBEI MAN BLASE, DIE</small> V<small>ERSE VON DEN</small> E<small>RINNERUNGEN, WOBEI MAN BLASE</small>, [<small>DIE</small> V<small>ERSE</small>] <small>VON DER</small> P<small>OSAUNE, WOBEI MAN BLASE, SODANN</small> [<small>DEN</small> S<small>EGEN</small>] <small>VOM</small> T<small>EMPELDIENSTE, DEN</small> D<small>ANKSEGEN UND DEN</small> P<small>RIESTERSEGEN</small>.
Rosh Hashanah 32a:5	GEMARA. R. A͑<small>QIBA SPRACH ZU IHM:</small> W<small>OZU ERWÄHNT MAN</small> [<small>DIE</small> V<small>ERSE</small>] <small>VOM</small> K<small>ÖNIGTUME</small> [G<small>OTTES</small>], <small>WENN MAN DABEI NICHT BLÄST!? ‘WOZU</small> erwähnt man’, der Allbarmherzige hat ja zu erwähnen geboten!? – Vielmehr, wozu zehn [Verse], man sollte doch nur neun erwähnen, wo sie doch jenen nicht gleichen$fn69.
Rosh Hashanah 32a:6	Die Rabbanan lehrten: Woher, daß man [den Segen] von den Vätern spreche. Es heißt :$fn70<i>gebt dem Herrn, ihr Mächtigen</i>$fn71. Woher, daß man [den Segen] von der Allmacht spreche? Es heißt:$fn70<i>gebt dem Herrn Herrlichkeit und Stärke</i>. 
Rosh Hashanah 32a:7	Woher, daß man [den Segen] von der Heiligung spreche? Es heißt :$fn72<i>gebt dem Herrn die Herrlichkeit seines Namens, werft euch vor dem Herrn nieder in heiligem Schmucke</i>. Woher, daß man [die Verse] vom Königtume [Gottes], von den Erinnerungen und von der Posaune spreche? R. Elie͑zer sagte: Es heißt:$fn73<i>Ein Ruhetag, eine Erinnerung des Lärmblasens und heiliger Versammlung. Ein Ruhetag</i>, das ist die Weihe des Tages; <i>eine Erinnerung</i>, das sind [die Verse] von den Erinnerungen; <i>des Lärmblasens</i>, das sind [die Verse] von der Posaune; <i>heiliger Versammlung</i>, heilige ihn durch Arbeitseinstellung. 
Rosh Hashanah 32a:8	R. A͑qiba sprach zu ihm: Weshalb sollten wir nicht [das Wort] <i>Ruhetag</i> auf die Arbeitseinstellung beziehen, womit doch die Schrift beginnt!? Vielmehr: <i>ein Ruhetag</i>, heilige ihn durch Arbeitseinstellung; <i>eine Erinnerung</i>, das sind [die Verse] von den Erinnerungen; <i>des Lärmblasens</i>, das sind [die Verse] von der Posaune; <i>heilige Versammlung</i>, das ist die Weihe des Tages.
Rosh Hashanah 32a:9	Woher, daß man [die Verse] vom Königtume [Gottes] spreche? Es wird gelehrt: Rabbi sagte: [Die Worte]$fn74<i>ich bin der Herr, euer Gott</i>, im [Abschnitte vom] siebenten Monate deuten auf das Königtum [Gottes]. 
Rosh Hashanah 32a:10	R. Jose b.Jehuda sagt, dies sei ja gar nicht nötig; es heißt:$fn75<i>dies soll für euch eine Erinnerung sein, vor dem Herrn, eurem Gotte</i>, somit sind ja [die Worte:] <i>ich bin der Herr, euer Gott</i>, nicht nötig, und wenn sie dennoch geschrieben stehen, so ist dies eine Hauptnorm, daß überall, wo von Erinnerungen gesprochen wird, auch das Königtum damit verbunden sei. –
Rosh Hashanah 32a:11	Wo wird [der Segen über die] Weihe des Tages eingeschaltet? Es wird gelehrt: Rabbi sagt, man schalte ihn in den Segen vom Königtume [Gottes] ein, denn wie er sonst in den vierten [Segen]$fn76eingeschaltet wird, ebenso auch [am Neujahrsfeste] in der vierten.
Rosh Hashanah 32a:12	R. Šimo͑n b. Gamliél sagt, man schalte ihn in den Segen von den Erinnerungen ein, denn wie er sonst in den mittelsten Segen eingeschaltet wird, ebenso auch [am Neujahrsfeste] in den mittelsten. 
Rosh Hashanah 32a:13	Als einst das Gericht in Uša das Jahr weihte, trat R. Joḥanan b. Beroqa in Gegenwart des R. Šimo͑n b. Gamliél [vor das Betpult] und verfuhr nach R. Joḥanan b. Nuri. Da sprach R. Šimo͑n zu ihm : In Jabne pflegten wir nicht so zu verfahren. Am folgenden Tage trat R. Ḥanina, Sohn R. Joses des Galiläers, [vor das Betpult] und verfuhr nach R. A͑qiba. Da sprach R. Šimo͑n b. Gamliél zu ihm: So pflegten wir auch in Jabne zu verfahren. –
Rosh Hashanah 32a:14	Demnach ist R. Šimo͑n b.Gamliél der Ansicht R. A͑qibas, während doch R. A͑qiba sagt, man verbinde mit der Weihe des Tages [die Verse] vom Königtume Gottes, und R. Šimo͑n b.Gamliél sagt, mit der Weihe des Tages [die Verse] von den Erinnerungen!? R. Zera erwiderte: Er meinte, man blase auch bei [dem Verse] vom Königtume. – 
Rosh Hashanah 32a:15	‘Am folgenden Tage trat R. Ḥanina’. Was heißt ‘folgenden’: wollte man sagen, der zweite Feiertag, so müßte ja der Elul interkaliert sein, und R. Ḥenana b.Kahana sagte im Namen Rabhs, daß seit E͑zra der Elul nicht interkaliert worden sei!? R. Ḥisda erwiderte: Unter ‘folgenden’ ist das Neujahrsfest des folgenden Jahres zu verstehen.
Rosh Hashanah 32a:16	<sup>vi,1</sup> <b>M</b><small>AN LESE NIGHT WENIGER ALS ZEHN</small> [V<small>ERSE VOM</small>] K<small>ÖNIGTUME GOTTES</small>, a<small>LS ZEHN VON DEN</small> E<small>RINNERUNGEN UND ALS ZEHN VON DER</small> P<small>OSAUNE</small>. R. J<small>OḤANAN B</small>.N<small>URI SAGT, MAN HABE DER</small> P<small>FLICHT GENÜGT, WENN MAN VON ALLEN JE DREI GELESEN HAT</small>.
Rosh Hashanah 32a:17	GEMARA. Wem entsprechen diese zehn [Verse] vom Königtume [Gottes]!? R. [Levi] erwiderte: Entsprechend den zehn Lobliedern, die David im Buche der Psalmen gedichtet hat. – Es sind ja bedeutend mehr Loblieder!? – Der Psalm, in dem es heißt:$fn77<i>preiset ihn mit Posaunenblasen</i>. 
Rosh Hashanah 32a:18	R. Joseph erwiderte: Entsprechend den zehn Geboten, die Moše am Sinaj aufgetragen wurden. R. Joḥanan erwiderte: Entsprechend den zehn Aussprüchen, durch die die Welt erschaffen wurde. – Welche sind es? – Die Worte <i>er sprach</i> 
Rosh Hashanah 32a:19	im [Abschnitte]$fn78<i>Am Anfang</i>. – Es sind ja nur neun!? – Auch [der Vers] <i>Am Anfang [erschuf]</i> gehört zu den Aussprüchen, denn es heißt:$fn79<i>durch den Ausspruch des Herrn wurden die Himmel erschaffen</i>.
Rosh Hashanah 32a:20	R. J<small>OḤANAN B</small>.N<small>URI SAGT, MAN HABE DER</small> P<small>FLICHT GENÜGT, WENN MAN VON ALLEN JE DREI GELESEN HAT:</small> Sie fragten: Meint er es, drei aus der Tora, drei aus den Propheten und drei aus den Haggiographen, zusammen neun, sodaß sie um einen [Vers] differieren, oder meint er, einen aus der Tora, einen aus den Propheten und einen aus den Haggiographen, zusammen drei, sodaß sie um viele differieren? – 
Rosh Hashanah 32a:21	Komm und höre, es wird gelehrt: Man lese nicht weniger als zehn [Verse] vom Königtume [Gottes], zehn von den Erinnerungen und zehn vom Posaunenblasen, jedoch habe man seiner Pflicht genügt, wenn man von allen je sieben gelesen hat, entsprechend den sieben Himmeln.
Rosh Hashanah 32a:22	R. Joḥanan b. Nuri sagt, man lese nicht weniger als sieben$fn80, jedoch habe man seiner Pflicht genügt, wenn man von allen je drei gelesen hat, entsprechend Tora, Propheten und Haggiographen, und, wie manche sagen, entsprechend Priestern, Leviten und Jisraéliten. R. Hona sagte im Namen Šemuéls: Die Halakha ist wie R. Joḥanan b.Nuri.
Rosh Hashanah 32a:23	<sup>vi,2</sup> <b>M</b><small>AN LESE NICHT</small> [<small>SOLCHE</small> V<small>ERSE</small>] <small>VON DEN</small> E<small>RINNERUNGEN, DEM</small> K<small>ÖNIGTUME</small> [G<small>OTTES</small>] <small>UND DER</small> P<small>OSAUNE, DIE VOM</small> S<small>TRAFGERICHTE HANDELN</small>. M<small>AN BEGINNE MIT</small> [V<small>ERSEN</small>] <small>AUS DER</small> T<small>ORA UND SCHLIESSE MIT SOLCHEN AUS DEN</small> P<small>ROPHETEN;</small> R. J<small>OSE SAGT, MAN HABE SEINER</small> P<small>FLICHT GENÜGT, WENN MAN MIT SOLGHEN AUS DER</small> T<small>ORA GESCHLOSSEN HAT</small>.
Rosh Hashanah 32b:1	GEMARA. Vom Königtume [Gottes] beispielsweise :$fn81<i>so wahr ich lebe</i>, <i>Spruch Gottes, des Herrn,mit starker Hand und ausgestrecktem Arme und mit ausgeschüttetem Zorne will ich König über euch sein</i>. Und obgleich R. Naḥman gesagt hat, möge der Heilige, gepriesen sei er, auf diese Weise über uns zürnen, nur daß er uns erlöse, so erwähne man trotzdem, da es im Zorne gesprochen worden ist, am Neujahre nichts vom Zorne.
