Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Deuteronomy 2 30,"But Sihon king of Heshbon was not willing to let us cross through him,<br>for <small>YHWH</small> your God hardened his spirit and stiffened his heart,<br>in order to give him into your hand, as [is] this day."
Deuteronomy 2 31,"And <small>YHWH</small> said to me:<br>See, I have started to give before you Sihon and his land;<br>start, take possession, to possess his land!"
Deuteronomy 2 32,"And Sihon went out to meet us, he and all his people in battle, at Yahatz,"
Deuteronomy 2 33,"but <small>YHWH</small> our God gave him before us,<br>and we struck him and his sons and all his people."
Deuteronomy 2 34,"We captured all his towns at that time,<br>and devoted-to-destruction every town: menfolk, women, and little-ones;<br>we left no remnant."
Deuteronomy 2 35,"Only the animals did we plunder for ourselves,<br>and the spoils of the towns that we captured."
Deuteronomy 2 36,"From Aro’er, that is on the bank of the Wadi Arnon,<br>and the town that is in the Wadi, as far as Gil’ad,<br>there was not a city that was too lofty for us&mdash;<br>all [of them] <small>YHWH</small> our God gave before us."
Deuteronomy 2 37,"Only the land of the Children of Ammon you did not come near,<br>all the environs of the Wadi Yabbok, and the towns in the highlands,<br>and all about which <small>YHWH</small> our God commanded us."
Deuteronomy 3 1,"We faced about and went up the route to Bashan,<br>and Og king of Bashan came out to meet us,<br>he and all his fighting-people in battle, at Edre’i."
Deuteronomy 3 2,"And <small>YHWH</small> said to me:<br>Do not be afraid of him,<br>for into your hand I give him and all his fighting-people, and his land,<br>you will do to him<br>as you did to Sihon king of the Amorites, who sat [as ruler] in Heshbon."
Deuteronomy 3 3,"And <small>YHWH</small> our God gave into our hand<br>Og king of Bashan as well, and all his fighting-people;<br>we struck him until there was not left him a survivor."
Deuteronomy 3 4,"We conquered all his towns at that time,<br>there was no city that we did not take from them,<br>sixty towns, all the region of Argov,<br>the kingdom of Og at Bashan."
Deuteronomy 3 5,"All these were fortified towns [with] a high wall, double-doored with a bar,<br>aside from the towns of the open-country-dwellers, exceedingly many."
Deuteronomy 3 6,"We devoted them to destruction,<br>as we had done to Sihon king of Heshbon,<br>devoting-to-destruction every town:<br>menfolk, women and little-ones,"
Deuteronomy 3 7,"while every [head of] cattle, and the spoils of the towns, we took-as-plunder for ourselves."
Deuteronomy 3 8,"And we took at that time the land<br>from the hand of the two kings of the Amorites that were in [the country] across the Jordan,<br>from Wadi Arnon to Mount Hermon;"
Deuteronomy 3 9,"—Sidonians call Hermon Siryon,<br>but the Amorites call it Senir—"
Deuteronomy 3 10,"all the towns of the plateau and all of Gil’ad, and all of Bashan,<br>as far as Salkha and Edre’i,<br>towns of the kingdom of Og at Bashan."
Deuteronomy 3 11,"For only Og king of Bashan was left of the rest of the Refa’ites<br>—here, his couch was a couch of iron;<br>is it not in Rabba of the Children of Ammon,<br>nine cubits its length, four cubits its width, by the cubit of a man?—"
Deuteronomy 3 12,"Now this land we possessed at that time,<br>from Aro’er which is by the Wadi Arnon;<br>half of the highlands of Gil’ad and its towns I gave to the Re’uvenites and to the Gadites."
Deuteronomy 3 13,"And the rest of Gil’ad and all of Bashan, the kingdom of Og,<br>I gave to half of the tribe of Menashe, all the region of Argov, including all of Bashan<br>—it is called the Land of the Refa’ites."
Deuteronomy 3 14,"Ya’ir son of Menashe took all of the region of Argov<br>as far as the territory of the Geshurites and the Maakathites,<br>and called them by his name, [the] Bashan [towns]:<br>Havvot Ya’ir/Tent-Villages of Ya’ir,<br>until this day."
Deuteronomy 3 15,"Now to Makhir I gave Gil’ad,"
Deuteronomy 3 16,"and to the Re’uvenites and to the Gadites I gave from Gil’ad, as far as Wadi Arnon, the middle of the Wadi as the boundary,<br>as far as Yabbok the Wadi,<br>the boundary of the Children of Ammon;"
Deuteronomy 3 17,"and the Plain and Jordan as [its] boundary<br>from the Kinneret as far as the Sea of the Plain, the Sea of Salt,<br>beneath the slopes of the Pisga [Range], toward sunrise."
Deuteronomy 3 18,"And I commanded you at that time, saying:<br><small>YHWH</small> your God has given you this land to possess;<br>[you] specially-drafted [men] are to cross over before their brothers, the Children of Israel, all valiant ones."
Deuteronomy 3 19,"Only your wives, your little-ones, and your livestock<br>—I know that you have many [head of] livestock—<br>are to settle in your towns that I am giving you,"
Deuteronomy 3 20,"until <small>YHWH</small> gives-rest to your brothers as yourselves,<br>and they take possession, they as well, of the land that <small>YHWH</small> your God is giving you, in [the country] across the Jordan.<br>Then shall each-man return to his possession that I give you."
Deuteronomy 3 21,"Now Yehoshua I commanded at that time, saying:<br>Your eyes [it was] that have seen all that <small>YHWH</small> your God did to these two kings;<br>thus will <small>YHWH</small> do to all the kingdoms into which you are crossing!"
Deuteronomy 3 22,"You are not to be afraid of them,<br>for <small>YHWH</small> your God,<br>he is the one who does battle for you!"
Deuteronomy 3 23,"And I pleaded with <small>YHWH</small> at that time, saying:"
Deuteronomy 3 24,"My Lord <small>YHWH</small>,<br>you yourself have started to let your servant see<br>your greatness and your strong hand,<br>that who is a god in heaven and on earth<br>that can do according to your deeds and according to your power!"
Deuteronomy 3 25,"Pray let me cross over<br>that I may see the good land<br>that is in [the country] across the Jordan,<br>these good highlands, and the Lebanon!"
Deuteronomy 3 26,"But <small>YHWH</small> was cross with me on your account,<br>and he would not hearken to me;<br><small>YHWH</small> said to me:<br>Enough for you!<br>Do not speak to me any more again about this matter!"
Deuteronomy 3 27,"Go up to the top of the Pisga [Range]<br>and lift up your eyes—toward the sea, toward the north, toward the south, and toward sunrise;<br>see [it] with your eyes,<br>for you will not cross this Jordan!"
Deuteronomy 3 28,"But command Yehoshua;<br>make-him-strong, make-him-courageous,<br>for he will cross over before this people<br>and he will cause them to inherit the land that you see."
Deuteronomy 3 29,"And we stayed in the valley,<br>opposite Bet Pe’or."
Deuteronomy 4 1,"And now, O Israel, hearken to the laws and to the regulations<br>that I am teaching you to observe,<br>in order that you may live<br>and enter and take possession of the land that <small>YHWH</small>, the God of your fathers, is giving to you."
Deuteronomy 4 2,"You are not to add to the word that I am commanding you,<br>and you are not to subtract from it,<br>in keeping the commandments of <small>YHWH</small> your God that I am commanding you."
Deuteronomy 4 3,"Your eyes [it is] that have seen what <small>YHWH</small> did at Baal Pe’or:<br>indeed, every man that walked after Baal Pe’or—<br><small>YHWH</small> your God wiped him out from among you!"
Deuteronomy 4 4,"But you, the ones clinging to <small>YHWH</small> your God,<br>are alive, all of you, today!"
Deuteronomy 4 5,"See,<br>I am teaching you laws and regulations<br>as <small>YHWH</small> my God has commanded me, to do thus,<br>amid the land that you are entering to possess."
Deuteronomy 4 6,"You are to keep [them], you are to observe [them],<br>for that [will be] wisdom-for-you and understanding-for-you in the eyes of the peoples<br>who, when they hear all these laws, will say:<br>Only a wise and understanding people is this great nation!"
Deuteronomy 4 7,For who [else] is [such] a great nation<br>that has gods so near to it<br>as <small>YHWH</small> our God<br>in all our calling on him?
Deuteronomy 4 8,And who [else] is [such] a great nation<br>that has laws and regulations so equitable<br>as all this Instruction<br>that I put before you today?
Deuteronomy 4 9,"Only: take you care, take exceeding care for your self,<br>lest you forget the things that your eyes saw,<br>lest you turn aside in your heart<br>all the days of your life;<br>make them known to your children, and to your children’s children:"
Deuteronomy 4 10,"the day that you stood before the presence of <small>YHWH</small> your God at Horev,<br>when <small>YHWH</small> said to me:<br>Assemble the people to me,<br>that I may have them hear my words,<br>that they may learn to hold me in awe<br>all the days that they are alive on the land,<br>—and their children, they are to teach!—"
Deuteronomy 4 11,"you came near and you stood beneath the mountain:<br>now the mountain was burning with fire,<br>up to the [very] heart of the heavens,<br>[in] darkness, cloud and fog."
Deuteronomy 4 12,"And <small>YHWH</small> spoke to you from the midst of the fire:<br>a voice of words you heard,<br>but a form you did not see&mdash;<br>only a voice!"
Deuteronomy 4 13,"He announced to you his covenant<br>which he commanded you to observe,<br>the Ten Words,<br>and he wrote them down on two tablets of stone."
Deuteronomy 4 14,"And me, <small>YHWH</small> commanded at that time<br>to teach you laws and regulations<br>for you to observe them<br>in the land that you are crossing into to possess."
Deuteronomy 4 15,So you are to take exceeding care for your selves—<br>for you did not see any form<br>on the day that <small>YHWH</small> spoke to you at Horev from the midst of the fire—
Deuteronomy 4 16,"lest you wreak-ruin<br>and make yourselves a carved form of any figure,"
Deuteronomy 4 17,"[in the] pattern of male or female,<br>the pattern of any animal that is on earth,<br>the pattern of any winged bird that flies in the heavens,"
Deuteronomy 4 18,"the pattern of any crawling-thing on the ground,<br>the pattern of any fish that is in the waters beneath the earth—"
Deuteronomy 4 19,"or lest you lift up your eyes toward the heavens<br>and see the sun and the moon and the stars, all the forces of the heavens,<br>and be lured away to bow down to them<br>and serve them,<br>whom <small>YHWH</small> has apportioned for all the [other] peoples beneath all the heavens."
Deuteronomy 4 20,"But you, <small>YHWH</small> took<br>and brought you out of the Iron Furnace, out of Egypt,<br>to be for him a people of inheritance,<br>as [is] this day."
Deuteronomy 4 21,"Now <small>YHWH</small> was incensed with me because of your words<br>and he swore not to let me cross the Jordan,<br>not to enter the good land that <small>YHWH</small> is giving you as an inheritance."
Deuteronomy 4 22,For I am going to die in this land&mdash;<br>I will not cross the Jordan!<br>But <i>you</i> are crossing over and will take possession of this good land.
