"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, Iii Eben Haezer.351.2","<i>A</i>. If the trustee cannot produce A's note of indebtedness, he has no claim against L, since she may deny the indebtedness altogether, or may maintain that her husband repaid his debt to the charity-chest. If the trustee, however, produces A's note of indebtedness, the signatures of which were identified in court, he takes precedence over L in collecting from A's estate. Even if L has already taken possession of A's valuables in payment of her <i>ketubah</i>, these must be taken away from her and given to the trustee in payment of A's debt. We rendered a similar decision in Frankfort some time ago."
"Meir, Iii Eben Haezer.351.3","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 171c."
"Meir, Iii Eben Haezer.352.1","1) <i>Q</i>. A owed one <i>minah</i> to B. He promised that he would repay the money on a specified date, or that his sureties, C and D, would either repay it themselves or would eat two meals a day to be charged to A. A made a binding promise to C and D, accompanied by a solemn hand-clasp, to compensate them for any losses they might suffer on account of their suretyship; and he gave them a written document to that effect. Before the debt fell due, however, A died leaving orphans and a widow, but not enough property to cover the latter's <i>ketubah</i>. B demands that the sureties either eat at the expense of A's estate, or pay him one <i>minah</i>. Who has priority in collecting from the estate, the creditor or the widow? Is this case similar to the case when interest is accumulating on the obligations of young orphans [in which case the court must attend immediately to the affairs of the estate in order to save the money of the orphans], or is it not similar to this case for the reason that in our case the orphans can receive no part of the estate in any event?"
"Meir, Iii Eben Haezer.352.2","<i>A</i>. Nowadays that a creditor may collect his debt from the movables of an estate, he has priority over the widow in collecting from movables. The orphans are not considered at all in this case, since they can receive no part of the estate in any event."
"Meir, Iii Eben Haezer.352.3","2) <i>Q</i>. When A married L she had small children. She said to A that she would give him a dowry of thirty <i>marks</i>, and would keep her remaining twenty <i>marks</i> for her children. The twenty <i>marks</i>, however, were not kept separately and they (A and L) did business with the entire sum. Subsequently A died, and L claimed that the greater part of the money he left belonged to her young children. Do we assume that since A did business with the money it belonged to him?"
"Meir, Iii Eben Haezer.352.4","<i>A</i>. If the money is in L's possession and we have no evidence (but her admission) that she possesses it, L must take an oath in support of her claim. We must be satisfied with this oath since she could have successfully denied possessing the money. But, if the money is not in her possession, or we have evidence that she possesses it, she must produce witnesses in support of her claim."
"Meir, Iii Eben Haezer.352.5","3) <i>Q</i>. Does a widow who is not admitted to oaths, lose her <i>ketubah</i> since she cannot take the required oath?"
"Meir, Iii Eben Haezer.352.6","There is no answer to this query. The three questions bear the signatures of: Joseph b. Moses, Nathan b. Jacob, and Isaac b. Solomon."
"Meir, Iii Eben Haezer.352.7","S<small>OURCES</small>: Am II, 69–70."
"Meir, Iii Eben Haezer.353.1","<i>Q</i>. A widow seized notes of indebtedness and bonds of Gentiles, that were made out both in her name and in the name of her husband. Does this act constitute seizure of the debts?"
"Meir, Iii Eben Haezer.353.2","<i>A</i>. The widow has to produce evidence to the effect that the money represented by the notes and the bonds was actually her money. Furthermore, possession of notes and bonds, does not imply the right to the money and property described therein. Thus seizure of the notes and the bonds does not constitute seizure of the debts."
"Meir, Iii Eben Haezer.353.3","S<small>OURCES</small>: P. 282; Mord. B.B. 562; <i>Agudah</i> B.B. 123. Cf. Maharil, <i>Responsa</i> 75."
"Meir, Iii Eben Haezer.354.1","<i>Q</i>. A left four daughters and no sons. His widow claims that B owed money to her deceased husband, and seeks to recover it in payment of her <i>ketubah</i>."
"Meir, Iii Eben Haezer.354.2","<i>A</i>. In talmudic times a widow could collect her <i>ketubah</i> from real property only; therefore, it is stated in the Talmud that when a person dies, his debtors or depositaries shall repay their obligations to the person's heirs and not to his widow. But, the Geonim enacted a law that a woman may collect her <i>ketubah</i> from movable property and even from property her husband has given away to his heirs before his death. Nowadays, then, a woman may collect her <i>ketubah</i> from her husband's property in the hands of debtors and depositaries. Therefore, if the widow will swear that A did not leave her enough property to cover her <i>ketubah</i>, B must pay her the money he owed A. If B denies that he owes anything to A, he must take an oath to that effect and be free from obligation."
"Meir, Iii Eben Haezer.354.3","S<small>OURCES</small>: Cr. 85; Pr. 211; Am II, 8."
"Meir, Iii Eben Haezer.355.1",<i>Q</i>. Does a woman collect her <i>ketubah</i> from a loan that has been secured by a pledge at the time the loan was contracted? Does a first-born son receive a double share from such a loan?
"Meir, Iii Eben Haezer.355.2","<i>A</i>. A woman may collect her <i>ketubah</i> from all loans, even from loans that are not secured by pledges. Nowadays especially, since a woman may collect her <i>ketubah</i> from movables — and even after the loan is repaid to the orphans she may demand the money thus repaid in payment of her <i>ketubah</i> — she is entitled to collect directly from the debtor. Moreover, the custom of collecting the <i>ketubah</i> from movables and from loans, is well established in our time. Such a custom may be justified by the fact that the major part of our business consists of loans and investments. Similarly a first-born is entitled to a double share from a loan that had been secured by a pledge, since such a loan is not considered <i>raui</i> (a potential asset) but constitutes a real asset of the estate."
"Meir, Iii Eben Haezer.355.3","S<small>OURCES</small>: Am II, 66."
"Meir, Iii Eben Haezer.356.1","<i>Q</i>. A Gentile stole a book from A, who never gave up hope of recovering it. After A's death the book was recovered from the thief. Did this book, at the time of A's death, constitute an actual asset of A's estate, in which case A's widow would be entitled to collect her <i>ketubah</i> therefrom; or did it constitute merely a potential asset?"
"Meir, Iii Eben Haezer.356.2","<i>A</i>. A's widow is entitled to take the book in payment of her <i>ketubah</i>; for, wherever the book was at the time of A's death, it belonged to A."
"Meir, Iii Eben Haezer.356.3",S<small>OURCES</small>: Mord. B.B. 574.
"Meir, Iii Eben Haezer.357.1","<i>Q</i>. A's estate was not sufficient for the purpose of paying his wife's <i>ketubah</i>. The widow, however, improved the estate. Is she entitled to collect her <i>ketubah</i>, from the increase in value that resulted from her efforts? I believe that such increase belongs to the orphans."
"Meir, Iii Eben Haezer.357.2","<i>A</i>. Your decision is correct. Since the widow derived her sustenance from the property of the orphans<xref rid=""fn11"">*</xref>, the fruit of her labor belonged to them."
"Meir, Iii Eben Haezer.357.3","S<small>OURCES</small>: Am II, 15."
"Meir, Iii Eben Haezer.358.1","<i>Q</i>. The property A left when he died was sufficient to cover but part of his wife's <i>ketubah</i>. The widow claimed A's entire property in payment of her <i>ketubah</i>, and refused to allow the use of any part of it to pay for A's burial expenses. Is the widow entitled to her claim?"
