Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 83b:7	Und sie sind alle nötig. Würde nur der Fall gelehrt worden sein, wenn die Zeit und das Lebensjahr verstrichen sind, [so könnte man glauben,] weil es vollständig verdrängt worden$fn261ist, nicht aber, wenn nur die Zeit und nicht das Lebensjahr verstrichen ist, sodaß es für das zweite Pesaḥfest$fn262verwendbar ist. 
Menachot 83b:8	Und würde nur der Fall gelehrt worden sein, wenn die Zeit und nicht das Jahr verstrichen ist, [so könnte man glauben,] weil es vom ersten Pesaḥfeste verdrängt worden ist, nicht aber, wenn weder die Zeit noch das Lebensjahr verstrichen ist, sodaß es für das erste Pesaḥfest verwendbar ist. Daher sind alle nötig.
Menachot 83b:9	
Menachot 83b:10	<sup>i</sup><b>A</b>LLE G<small>EMEINDE</small>- <small>UND PRIVATE</small> [S<small>PEIS</small>]<small>OPFER SIND VON INLÄNDISCEM</small>$fn1 <small>UND VON AUSLÄNDISCHEM</small>, <small>VON NEUEM UND VON ALTEM</small> [G<small>ETREIDE</small>] <small>DARZUBRINGEN</small>, <small>AUSGENOMMEN</small> S<small>CHWINGEGARBE UND DIE ZWEI</small> B<small>ROTE</small>, <small>DIE NUR VON NEUEM UND VON INLÄNDISCHEM DARZUBRINGEN SIND</small>. 
Menachot 83b:11	 A<small>LLE ABER SIND NUR VOM BESTEN DARZUBRINGEN</small>. W<small>ELCHES IST DAS BESTE</small>? M<small>IKHMAS UND</small> Z<small>ANOAḤ</small>$fn2 <small>LIEFERN DAS</small> A<small>LPHA</small>$fn3 <small>IN</small> F<small>EINMEHL</small>; <small>DIESEN FOLGT</small> Ḥ<small>APHARAJIM</small>$fn2 <small>IN DER</small> E<small>BENE</small>.
Menachot 83b:12	T<small>AUGLICH WAR ES AUS ALLEN</small> P<small>ROVINZEN</small>, <small>NUR BRACHTE MAN ES AUS DIESEN</small> [O<small>RTSCHAFTEN</small>]$fn4.
Menachot 83b:13	GEMARA. Unsere Mišna vertritt nicht die Ansicht des Autors der folgenden Lehre: Die von altem [Getreide] dargebrachte Schwingegarbe ist tauglich, die von altem [Getreide] dargebrachten zwei Brote sind tauglich, nur hat man$fn5 ein Gebot unterlassen. 
Menachot 83b:14	Die Schwingegarbe, denn es heißt: $fn6<i>das Speisopfer deiner Erstlinge darbringst</i>, selbst aus der Vorratskammer$fn7; 
Menachot 83b:15	die zwei Brote, denn es heißt: $fn8<i>aus euren Wohnorten sollt ihr bringen</i>, nicht aber von ausländischem; <i>aus euren Wohnorten</i>, selbst aus der Vorratskammer. – 
Menachot 83b:16	Dies ist ja bereits gedeutet$fn9 worden!? – Die Schrift sagt: <i>sollt ihr bringen</i>, selbst aus der Vorratskammer. –
Menachot 83b:17	Hieraus wird ja gefolgert, daß alles, was außer diesen dargebracht wird, diesen$fn10gleiche!? – Der Schriftvers könnte ja gelautet haben: <i>sollst du</i>$fn11<i>bringen</i>, wenn es aber heißt: <i>sollt ihr bringen</i>, so ist beides zu entnehmen. – 
Menachot 83b:18	Es heißt ja aber$fn12<i>das erste</i>!? – Als Gebot. –
Menachot 83b:19	Es heißt ja$fn13<i>neues</i>!? – Dies ist für folgende Lehre nötig: R. Nathan und R. A͑qiba sagten: Die aus altem [Getreide] dargebrachten zwei Brote sind tauglich, und [das Wort] <i>neues</i> deutet darauf, daß sie das neueste unter den Opfern sein müssen$fn14. –
Menachot 83b:20	Sie$fn15streiten nur hinsichtlich des neuen$fn16, 
Menachot 84a:1	hinsichtlich des inländischen aber stimmen alle überein, daß die Schwingegarbe und die zwei Brote nur aus dem inländischen tauglich sind, nicht aber aus dem ausländischen, 
Menachot 84a:2	also nicht nach dem Autor der folgenden Lehre: R. Jose b. R. Jehuda sagte: Die Schwingegarbe darf aus dem ausländischen dargebracht werden, und der Schriftvers:$fn17<i>wenn ihr in das Land kommt</i>, lehrt, daß sie bis zu ihrem Einzuge in das Land zur [Darbringung der] Schwingegarbe nicht verpflichtet waren. 
Menachot 84a:3	Er ist der Ansicht, das Verbot des neuen [Getreides]$fn18 außerhalb des Landes sei aus der Tora; unter <i>aus euren Wohnorten</i> ist zu verstehen, wo ihr auch$fn19wohnt, und unter <i>wenn ihr kommt</i> ist die Zeit des Kommens$fn20zu verstehen, und da dies aus der Tora ist, so darf man sie$fn21 auch darbringen.
Menachot 84a:4	Dort haben wir gelernt: Die Wächter, die den Nachwuchs im Siebentjahre$fn22bewachen, erhalten ihren Lohn aus der Hebe$fn23des Tempelschatzes.
Menachot 84a:5	Rami b. Ḥama richtete an R. Ḥisda folgenden Einwand: Wir haben gelernt, die Wächter des Nachwuchses erhalten im Siebentjahre ihren Lohn von der Hebe des Tempelschatzes, und dem widersprechend wird gelehrt:$fn24<i>zum Essen</i>, nicht aber zum Verbrennen$fn25!? 
Menachot 84a:6	Dieser erwiderte: Die Schrift sagt:$fn26<i>für eure Generationen</i>$fn27, und du sagst, daß man es unterlasse!? 
Menachot 84a:7	Jener entgegnete: Sage ich etwa, daß man es unterlasse, man kann sie ja vom vorjährigen bringen!? – Es muß frische Frucht sein, was dann nicht der Fall ist. – 
Menachot 84a:8	Man kann sie ja von der frischen Frucht des Vorjahres bringen!? – Die Schrift sagt:$fn28<i>frische Frucht sollst du bringen</i>, es muß bei der Darbringung frische Frucht sein, was dann nicht der Fall ist.
Menachot 84a:9	Es wurde gelehrt: R. Joḥanan erklärte:$fn29<i>Frische Frucht sollst du bringen</i>. R. Elea͑zar erklärte: <i>Das erste eurer</i>$fn30<i>Ernte</i>, nicht aber das letzte eurer Ernte. 
Menachot 84a:10	Rabba wandte ein:$fn28<i>Wenn du das Speisopfer der Erstlinge darbringst</i>, die Schrift spricht vom Speisopfer der Schwingegarbe; diese wird aus Gerste gebracht. Du sagst, aus Gerste, vielleicht ist dem nicht so, sondem aus Weizen? 
Menachot 84a:11	R. Elie͑zer erwiderte: [Vom Getreide] in Miçrajim$fn31heißt es <i>reife Frucht</i> und von dem der späteren Generationen$fn32heißt es <i>reife Frucht</i>, wie an jener Stelle unter <i>reife Frucht</i> Gerste zu verstehen ist, ebenso ist auch die <i>reife Frucht</i> der späteren Generationen aus Gerste zu bringen.
Menachot 84a:12	R. A͑qiba erwiderte: Wir finden, daß ein einzelner Pflichtopfer aus Weizen und Pflichtopfer aus Gerste bringt, und ebenso bringt auch die Gemeinde Pflichtopfer aus Weizen und Pflichtopfer aus Gerste, und wenn du sagen wolltest, aus Weizen, so kommt es ja nicht vor, daß die Gemeinde Pflichtopfer aus Gerste bringt.
Menachot 84a:13	Eine andere Erklärung: Wenn du sagen wolltest, die Schwingegarbe werde aus Weizen dargebracht, sind die zwei Brote$fn33keine Erstlinge mehr. Demnach erfolgt dies$fn34aus dem Grunde, weil sie Erstlinge sein müssen. Eine Widerlegung$fn35.
Menachot 84a:14	Dort haben wir gelernt: Die Erstlinge$fn36werden nur von den sieben Arten$fn37gebracht,
Menachot 84b:1	auch nicht von Gebirgsdatteln und [Feld]früchten aus Tälern$fn38. U͑la sagte: Hat man sie gebracht, so sind sie nicht heilig. 
Menachot 84b:2	Rabba saß und trug diese Lehre vor, da wandte R. Aḥa b. Abba gegen Rabba ein: $fn39<i>Erstlingsopfer</i>, es muß das erste unter den Opfern sein. Ebenso heißt es:$fn40<i>wenn ihr an eurem Wochenfeste dem Herrn ein neues Opfer darbringt</i>. 
Menachot 84b:3	Ich weiß nun, daß es das neueste unter denen aus Weizen$fn41ist, woher, daß es auch das neueste unter denen aus Gerste$fn42sein muß? Es heißt zweimal$fn43<i>neues</i>, und da es$fn44nicht auf das Neue unter denen aus Weizen zu beziehen ist, so beziehe man es auf das Neue unter denen aus Gerste. 
Menachot 84b:4	Woher, daß es auch den Erstlingen vorangeht? Es heißt:$fn45<i>und das Wochenfest sollst du halten, [das Fest] der Erstlinge der Weizenernte</i>. Ich weiß dies nun von der Weizenernte, woher dies von der Gerstenernte? Es heißt:$fn46<i>und das Fest der Ernte, der Erstlinge deiner Arbeit, dessen, was du auf dem Felde säest</i>. 
Menachot 84b:5	Ich weiß dies von dem, was du gesäet hast, woher dies von dem, was von selbst gewachsen ist? Es heißt: <i>auf dem Felde</i>. 
Menachot 84b:6	Ich weiß dies von dem, was auf dem Felde wächst, woher, daß auch das einbegriffen ist, was auf einem Dache, in einer Ruine, in einem Pflanzentopfe und auf einem Schiffe wächst? Es heißt:$fn47<i>die Erstlinge von allem, was in ihrem Lande ist</i>. 
Menachot 84b:7	Woher, daß es den Gußopfern und den Baumfrüchten vorangeht? Hierbei$fn48heißt es: <i>die Erstlinge deiner Arbeit</i>, und dort$fn49heißt es:$fn46<i>wenn du deine Arbeit vom Felde einsammelst</i>, wie dort Gußopfer$fn50 und Baumfrüchte, ebenso sind auch hier Gußopfer und Baumfrüchte.
Menachot 84b:8	Dies$fn51wird also von dem gelehrt, was auf einem Dache, in einer Ruine, in einem Pflanzentopfe oder auf einem Schiffe wächst!? – Der Schlußsatz spricht von den Speisopfern$fn52. 
Menachot 84b:9	R. Ada b. Ahaba wandte ein: Wieso heißt es demnach:$fn53<i>jeder Reine in deinem Hause darf davon essen</i>, Speisopfer dürfen ja nur von Männern aus der Priesterschaft gegessen werden!? 
Menachot 84b:10	R. Mešaršeja erwiderte: Es sind zwei Schriftverse vorhanden; es heißt:$fn54<i>dir gehöre es</i>, und es heißt: <i>jeder Reine in deinem Hause darf davon essen</i>; wie ist dies nun zu erklären? Eines gilt von den Erstlingen und eines gilt von den Speisopfern. 
Menachot 84b:11	R. Aši erklärte: Das ganze spricht von den Speisopfern, und der Schluß des Schriftverses$fn55bezieht sich auf die Brote des Dankopfers. 
Menachot 84b:12	Darüber besteht auch folgender Streit: R. Joḥanan sagt, wenn man sie$fn56gebracht hat, seien sie nicht heilig, und Reš Laqiš sagt, wenn man sie gebracht hat, seien sie heilig, denn sie gleichen dem Mageren unter den [Schlacht]opfern$fn57. – 
Menachot 84b:13	Allerdings gibt Reš Laqiš seinen Grund an, was aber ist der Grund R. Joḥanans? R. Elea͑zar erwiderte: Ich sah R. Joḥanan im Traume, und will nun was Gutes sagen. Die Schrift sagt: $fn58<i>von den Erstlingen</i>, nicht aber alle Erstlinge,$fn58<i>von deinem Lande</i>, nicht aber alles aus deinem Lande$fn59. – 
Menachot 84b:14	Wofür verwendet Reš Laqiš [die Worte] <i>von deinem Lande</i>? – Diese verwendet er für folgende Lehre: R. Gamaliél b. Rabbi sagte: Hierbei heißt es <i>Land</i> und dort$fn60heißt es <i>Land</i>, wie dort das Gute des Landes [aufgezählt wird], ebenso auch hierbei das Gute des Landes$fn61. – 
Menachot 84b:15	Und der andere$fn62!? – [Es heißt] <i>Land, vom Lande</i>$fn63. – 
Menachot 84b:16	Und jener!? – [Die Auslegung] <i>Land, vom Lande</i> leuchtet ihm nicht ein. – 
Menachot 84b:17	Eines lehrt, daß man von dem, was auf einem Dache, in einer Ruine, in einem Pflanzentopfe oder auf einem Schiffe [wächst, die Erstlinge] bringe und darüber [den Abschnitt]$fn64lese, und ein Anderes lehrt, daß man sie bringe und nicht lese.
Menachot 84b:18	Allerdings besteht nach Reš Laqiš kein Widerspruch hinsichtlich [der Gewächse] eines Daches, denn eines gilt vom Dache einer Höhle$fn65und eines gilt vom Dache eines Hauses, 
Menachot 84b:19	ebenso auch nicht hinsichtlich der einer Ruine, denn eines gilt von einer bestellten Ruine und eines gilt von einer unbestellten Ruine,
Menachot 84b:20	ebenso auch nicht hinsichtlich der eines Pflanzentopfes, denn eines gilt von einem durch-locten und eines gilt von einem undurchlochten, 
Menachot 84b:21	und ebenso auch nicht hinsichtlich der eines Schiffes, denn eines gilt von einem Schiffe aus Holz und eines gilt von einem Schiffe aus Ton$fn66, 
Menachot 85a:1	gegen R. Joḥanan aber ist dies ja ein Einwand$fn67!? – 
Menachot 85a:2	[Hierüber streiten] Tannaím, denn es wird gelehrt: Von dem, was auf einem Dache oder in einer Ruine [wächst], bringe man [die Erstlinge] und lese darüber [den Abschnitt], von dem, was in einem Pflanzentopfe oder auf einem Schiffe [wächst], bringe man überhaupt nicht$fn68.
Menachot 85a:3	A<small>LLE ABER SIND NUR VOM BESTEN DARZUBRINGEN</small> &amp;<small>C</small>. Joḥana und Mamre$fn69sprachen$fn70zu Moše: Du bringst Stroh nach Ḥapharajim$fn71! Er erwiderte ihnen: Die Leute pflegen zu sagen: bringe Gemüse nach der Gemüsestadt$fn72.
Menachot 85a:4	<sup>ii</sup><b>M</b><small>AN BRINGE SIE</small>$fn73<small>NICHT VON EINEM</small> D<small>UNG</small>-$fn74, <small>EINEM</small> B<small>EWÄSSERUNGS</small>-$fn74 <small>ODER EINEM MIT</small> B<small>ÄUMEN BEPFLANZTEN</small>$fn75F<small>ELDE</small>; <small>HAT MAN SIE GEBRACHT</small>, <small>SO SIND SIE TAUGLICH</small>. 
Menachot 85a:5	W<small>IE VERFAHRE MAN DABEI</small>? E<small>IN</small> J<small>AHR BRACHE MAN ES</small>$fn76<small>UND DAS ANDERE</small> J<small>AHR</small>, <small>SIEBZIG</small> T<small>AGE VOR DEM</small> P<small>ESAḤFESTE</small>, <small>BESTELLE MAN ES</small>; <small>DANN BRINGT ES REICHLICH</small> F<small>EINMEHL</small>.
Menachot 85a:6	W<small>IE UNTERSUCHT ER</small>$fn77<small>ES</small>? D<small>ER</small> S<small>CHATZMEISTER STECKT DIE</small> H<small>AND HINEIN</small>, <small>UND WENN</small> S<small>TAUB VORHANDEN IST</small>, <small>SO IST ES UNTAUGLICH</small>, <small>BIS MAN ES ABERMALS GESIEBT HAT</small>; 
Menachot 85a:7	<small>IST ES MADIG</small>$fn78, <small>SO IST ES UNTAUGLICH</small>.
Menachot 85a:8	GEMARA. W<small>IE VERFAHRE MAN DABEI</small>? E<small>IN</small> J<small>AHR BRACHE MAN ES</small> &amp;<small>C</small>. Sie fragten: Wie ist dies zu verstehen: daß man es ein Jahr brache und das andere brache und bestelle, oder daß man es ein Jahr brache und das andere bestelle, ohne es gebracht zu haben? –
Menachot 85a:9	Komm und höre, es wird gelehrt: R. Jose sagte: Man würde auch den Weizen aus Chorazin und Kepar Aḥim$fn79geholt haben, wenn diese nahe Jerušalem wären. Man bringe nämlich die Schwingegarbe nur von südlichen$fn80Feldern, die zu diesem Zwecke gebracht worden sind, auf die die Sonne beim Aufgange und beim Untergange fällt. 
Menachot 85a:10	Wie verfahre man dabei? Ein Jahr brache man es und das andere Jahr pflüge man es, wiederhole dies und bestelle es siebzig Tage vor dem Pesaḥfeste, damit es der Sonne$fn81am nächsten sei; sodann erreichen die Halme eine Spanne und die Ähren zwei Spannen. 
Menachot 85a:11	Hierauf mähe, garbe, dresche, worfle, klaube, mahle, siebe und bringe man es zum Schatzmeister; dieser steckt dann die Hand hinein, und ist Staub vorhanden, so sagt er, daß man es abermals siebe. Im Namen R. Nathans sagten sie: Der Schatzmeister beschmiert seine Hand mit Öl und steckt sie hinein, bis er den ganzen Staub herausholt. 
Menachot 85a:12	Hier lehrt er also, daß man es$fn82 pflüge und dies wiederhole. – 
Menachot 85a:13	Nach deiner Auffassung [ist ja einzuwenden:] die Mišna lehrt nicht, daß man dies wiederhole, 
Menachot 85b:1	und die Barajtha lehrt, daß man dies wiederhole!? – 
Menachot 85b:2	Dies ist kein Einwand; eines gilt von einem bearbeiteten und eines von einem unbearbeiteten [Felde]$fn83. – 
Menachot 85b:3	Wie bleibt es damit? – Komm und höre, es wird gelehrt: Man brache die Hälfte und bestelle die Hälfte, brache die Hälfte und bestelle die Hälfte$fn84.
Menachot 85b:4	R. Joḥanan sagte: Man bringe die Schwingegarbe nur von den südlichen Feldern im Jisraéllande, auf die die Sonne beim Aufgange und beim Untergange fällt.
Menachot 85b:5	Ebenso wird auch gelehrt: Abba Šaúl sagte: Die Schwingegarbe wurde aus der Ebene Beth Maqle geholt; sie hatte eine Fläche von drei Seá [Aussaat], lag südlich und die Sonne fiel auf sie beim Aufgange und beim Untergange; die Hälfte brachte man und die Hälfte bestellte man, die Hälfte brachte man und die Hälfte bestellte man.
Menachot 85b:6	R. Ḥilqija b. Ṭobija hatte ein Grundstück, das er abwechselnd zur Hälfte brachte und zur Hälfte bestellte, zur Hälfte brachte und zur Hälfte bestellte, und es brachte doppelten Ertrag; er verkaufte den Weizen zu Feinmehl.
Menachot 85b:7	I<small>ST ES MADIG</small>, <small>SO IST ES UNTAUGLICH</small>. Die Rabbanan lehrten: Wenn das Mehl größtenteils madig ist, so ist es untauglich, und wenn der Weizen größtenteils madig ist, so ist er untauglich. R. Jirmeja fragte: Die größere Hälfte jedes Weizenkornes, oder des Maßes? – Dies bleibt unentschieden.
Menachot 85b:8	Raba fragte: Ist, wenn man solches [als Speisopfer] geweiht hat, dieserhalb wegen des Fehlerbehafteten zu geißeln: gleicht es, da es untauglich ist, einem fehlerbehafteten [Vieh]$fn85, oder gibt es Leibesfehler nur bei einem Vieh? – Dies bleibt unentschieden.
Menachot 85b:9	Dort haben wir gelernt: Jedes Holz, in dem ein Wurm sich befindet, ist für den Altar untauglich. Šemuél sagte: Dies gilt nur von feuchtem, von trockenem aber kratze man ihn fort und es ist tauglich. 
Menachot 85b:10	Raba fragte: Ist, wenn man solches geweiht hat, dieserhalb wegen des Fehlerbehafteten zu geißeln: gleicht es, da es untauglich ist, einem fehlerbehafteten [Vieh], oder gibt es Leibesfehler nur bei einem Vieh? – Dies bleibt unentschieden.
Menachot 85b:11	<sup>iii</sup><b>T</b><small>EQOA͑ LIEFERT DAS</small> A<small>LPHA IN</small> Ö<small>L</small>. A<small>BBA</small> Š<small>AÚL SAGTE</small>: D<small>IESEM FOLGT</small> R<small>EGEB</small>, <small>JENSEITS DES</small> J<small>ARDEN</small>. T<small>AUGLICH WAR ES AUS ALLEN</small> P<small>ROVINZEN</small>, <small>NUR BRACHTE MAN ES VON DIESEN</small> [O<small>RTSCHAFTEN</small>].
Menachot 85b:12	M<small>AN BRINGE ES NICHT VON EINEM</small> D<small>UNG</small>-, <small>EINEM</small> B<small>EWÄSSERUNGS</small>- <small>ODER EINEM MIT</small> S<small>AATEN BESÄETEN</small>$fn86 F<small>ELDE</small>; <small>HAT MAN ES GEBRACHT</small>, <small>SO IST ES TAUGLICH</small>. M<small>AN BRINGE KEIN</small> O<small>MPHAKINON</small>$fn87, <small>HAT MAN ES GEBRACHT</small>, <small>SO IST ES TAUGLICH</small>. M<small>AN BRINGE ES NICHT VON IM</small> W<small>ASSER GEWEICHTEN</small> B<small>EEREN</small>, <small>EINGELEGTEN ODER GEBRÜHTEN</small>; <small>HAT MAN ES GEBRACHT</small>, <small>SO IST ES UNTAUGLICH</small>.
Menachot 85b:13	GEMARA.$fn88<i>Da schickte Joáb nach Teqoa͑ und ließ von dort eine kluge Frau holen</i>. Weshalb gerade aus Teqoa͑? R. Joḥanan erwiderte: Da sie dort an Olivenöl gewöhnt waren, waren sie weise.
Menachot 85b:14	Die Rabbanan lehrten:$fn89<i>Er tauche seinen Fuß in Öl</i>, das ist das Gebiet Ašers, in dem das Öl sich wie aus einer Quelle hinzog. Man erzählt, daß einst die Leute von Laodicea, als sie Öl brauchten, einen Beamten$fn90wählten und ihn beauftragten, für hundert Myriaden Öl zu holen.
