Index Title,"The Five Books of Moses, by Everett Fox"
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 3","The subject matter of this long collection forms an interesting contrast to both the Covenant Code of Exodus (in the chapters just referred to) and other law collections in the ancient Near East. The Exodus material contains much that deals with property and damages, whereas Deuteronomy appears to focus more heavily on criminal and moral issues. Although neighboring civilizations had legal literature that parallels many of the cases before us (cf. Hallo for a discussion), Deuteronomy’s particular emphases suggest a shift away from personal property as the central area of society’s concern (Greenberg 1970). In addition, the biblical text here (as previously in the book) is generally cast in the second person singular, giving it a highly personal edge, and there is a higher percentage of “motive clauses”—explanations or justifications for the laws—than in other Near Eastern law codes. Sonsino has noted a strong similarity between the language of these chapters and the thrust of biblical “wisdom literature” such as the book of Proverbs; thus a major function of the material may well be didactic and not legal per se. This, interestingly, puts Deuteronomy more squarely within its Near Eastern setting; Fishbane (1988) characterizes both sets of systems as “stylized collections of typical cases.”"
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 4","Yet he also argues that whatever the original purpose of the laws in Chapters 12–26, they came already within the biblical period itself to be seen as actual “legislative texts,” and as such, subject to later interpretation much as any law code might spawn (this multiple function of the laws was noted by Weinfeld 1972a). In this connection it is clear that new attitudes have been adopted and changes made in specific cases. It is usually accepted that Deuteronomy has introduced a markedly humanistic tone into Israel’s legal system; in Weinfeld’s words (1993):"
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 5","… the author’s purpose was not to produce a civil-law book like the book of the covenant, treating of pecuniary matters, but to set forth a code of laws securing the protection of the individual and particularly of those persons in need of protection."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 6",Some of the changes from earlier laws are noted in the Commentary and Notes below.
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 7","Nelson has divided the laws into the following sections: Purity in Worship (12:1–14:21); Life in the New Land (14:22–16:17); The Structures of Society (16:18–20:20); and Interpreting Traditional Laws (21:1–26:19). In his view, the changes introduced into Israel’s legal culture are responses to changes in Israelite society, whether economic, political, or religious—changes that may well reflect the monarchic period. The attempt to find a logical pattern to the structure of the laws, however, does not always succeed. Levinson has shown how a better understanding of the sequencing of the laws may be found in the principle of response to the centralization of worship, the event that historically may have accompanied Deuteronomy’s promulgation. In this scheme, 12:1–16:17 is above all a response to how centralization affected the cultic (sacrifical worship) sphere, and 16:18–17:13 to how judicial process was similarly affected. At the same time, these changes appear to be woven into older material."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 8","The phrase “And Y<small>HWH</small> spoke to Moshe, saying: / Speak to the Children of Israel and say to them: …,” so common in the legal and cultic sections of Leviticus and Numbers, does not appear here. Neither does it appear in the Covenant Code; but in the context of Deuteronomy, the absence of the phrase supports the emphasis on Moshe as the central figure (in Exodus the legal portions are followed by the Tabernacle instructions, which indeed use the quoted formula)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 9","Chapter 12 begins with “These are the laws and the regulations that you are to take-care to observe”; Chapter 28 ends with “These are the words of the covenant ….” As in Exodus, the laws are the terms of the covenant, not merely a set of rules to be followed. This is further supported by the framework into which these chapters have been placed. The first two parts of the book serve as a classic ancient Near Eastern introduction to a treaty, with their historical look back. In addition, the section ends with both a covenant ceremony (Chap. 27) and a series of blessings and curses (28), also typical in this genre. So far from being merely a dry list of laws, the core of Deuteronomy, with its reasoned tone and wide-ranging scope, serves both as a summing-up and as a basis for Israel’s life on the land. No wonder, then, that the exiles returning from Babylonia under Persian rule in the sixth century <small>B.C.E.</small> and later came to view the Torah as a real constitution."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 10",<img>
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 11",<i>Deut. 32:48–50</i> Now Y<small>HWH</small> spoke to Moshe … /Go up these heights … and see the land of Canaan…/You are to die on the mountain that you are going up …
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant, On Worship and Meat Eating 1",Deuteronomy 12:2-31
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant, On Worship and Meat Eating 2","The extended section on laws begins with what sounds like a reference to Josiah’s reform—the smashing of idols, the abolition of the “high-places” (the pagan shrines which dotted the ancient landscape of Canaan), and the centralization of the cult in the place that “God chooses to have his name dwell.” Since this emphasis is central to the program of Deuteronomy in its final form, it is not surprising that it appears first in the legal section of the book—rather like the opening of the laws in Exodus 21–23, which centers around the situation of one of its central concerns and images, the slave (Levinson). A logical result of the centralization of the cult is the need to permit the eating of meat in local sites; previously it had been permitted only at the Dwelling (cf. Lev. 17), the portable sanctuary. But the old prohibition against eating blood, as symbolic of the life, is upheld."
